"Entry","Name","Origin","Region","Cluster","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
3,"3156-11 AGL","Canada","Americas","2",-5.99562006323827,-3.31441852189684,-1.66252873465696,0.0611386289449929,-0.760797302578025,-0.125748577633576,0.0225422925417881,-0.770237122239095,0.871113016140986,-0.751621498969557
1,"CDC Asterix AGL","Canada","Americas","2",-5.56356326956768,-2.05975181430319,-0.592057197391533,1.28199096004586,-2.3587386582496,-1.16490328101376,-1.07899184216697,0.100113446372945,1.38659105671254,-1.1549326868367
5,"CDC Cherie AGL","Canada","Americas","2",-4.85803316612292,-1.20545915133369,-0.0342301274679468,-1.10980392803862,-1.03834420167084,-0.355280970766987,-0.441776241208426,-1.35781971459418,-0.378093142146081,0.26782455600827
6,"CDC Glamis AGL","Canada","Americas","2",-2.73548700300275,-5.50018912647607,-2.06685694460679,-1.19784669873016,2.83021471942146,-1.03879693786046,-1.53541553982914,-0.295830480671093,-0.012721490678553,1.14654088741052
4,"CDC Greenstar AGL","Canada","Americas","2",-5.63057742961102,-2.5235791242049,0.330181502270143,-0.466273482757527,-4.29175838500809,-1.36699234546491,-0.666540212369955,-0.426164693303645,0.478350277165917,-0.124551615231739
8,"CDC Imax AGL","Canada","Americas","3",5.89213956618643,0.281483141109339,-2.46980045029036,-0.669328384815024,-1.32680091181358,-2.17520179326654,-0.87168596938907,-2.38290962477566,-2.48775776204843,0.347466525422443
9,"CDC Impower AGL","Canada","Americas","2",1.39264310399074,2.23626618737024,1.92264186030141,-0.922378822993325,0.11163127649276,0.275125822764271,0.0964754879766357,-2.53102204034995,-2.71781438200458,1.14234890718177
10,"CDC KR-1 AGL","Canada","Americas","1",-8.02568245606091,-2.58274231630144,-2.06916090350648,2.22890946801819,-3.97188942165713,0.331431495676359,-1.22750393479583,-1.23404914417705,-0.334322192175196,0.133539309531502
11,"CDC LeMay AGL","Canada","Americas","2",-2.32962271178983,-1.24080224186577,0.00689964829336962,0.425825210181572,0.404565462844036,-2.23943444873492,-0.48898723658601,0.135837569042489,0.0517557331527329,0.185749777822694
12,"CDC Maxim AGL","Canada","Americas","1",-7.94557397255272,-0.532993171708551,3.95442147509604,0.677314241630031,-4.40617853837879,-0.895226487715995,-0.404138768413891,-3.20309114615356,-2.53381953179639,-0.317830831217278
13,"CDC QG-1 AGL","Canada","Americas","3",5.0303665481195,-0.410207055678641,-0.403736331137372,0.12064812193956,-0.27969797047506,-1.02596320675665,-0.753728071621727,-0.654986579661981,1.20871619130341,-0.142656630232433
14,"CDC Red Rider AGL","Canada","Americas","3",6.7345234950662,-3.06562399960888,1.26524172245443,-3.25297079953887,0.0652465988519908,-1.31546103229306,-0.778094436293502,-1.00490019284287,-0.141997333219052,-1.01841672407118
15,"CDC Redcoat AGL","Canada","Americas","2",-0.723053913803013,-5.39042999466988,0.801061006681859,-0.602883876199875,1.28482712450891,-0.607700145931823,-1.83049108822634,-0.516964518311371,-0.490136274936088,1.03732724682576
16,"CDC Redwing AGL","Canada","Americas","3",5.66052240492572,1.163224519226,-0.800107616756894,-0.100048437514767,-0.814935593361929,-2.76206268543014,-1.83127251475515,0.285120634269107,0.961407896278389,0.815003396810139
17,"CDC Robin AGL","Canada","Americas","2",0.239685876779514,-1.10379693160272,0.940917750868558,0.530062179191743,-3.79740006583814,-0.479798371610665,-1.04780676089691,0.683437283201217,0.304322002515833,0.0575757530723075
18,"CDC Rosebud AGL","Canada","Americas","3",6.19937675038839,0.606548492498617,-0.346599438369378,-1.92932429928325,-1.00910871139862,-1.05347907995563,-0.576009673052707,-0.0273012324923999,1.04819390182206,0.707537275046966
19,"CDC Rosetown AGL","Canada","Americas","2",-2.47203284879612,-0.868765118366066,1.46976753215523,-1.6324031680136,-0.112830938646005,-1.90846273693452,-0.625880754514495,-0.514239788926869,0.0571304136131569,0.430049557139729
2,"CDC Rosie AGL","Canada","Americas","3",3.54675456992908,-1.67653460774714,-1.87835151538898,-3.0456197840613,2.19928133667144,-2.3509165324337,-2.37550062483178,-0.419794848014139,0.61468670471616,-0.107157832480853
20,"CDC Rouleau AGL","Canada","Americas","1",-7.4242870513001,-2.1950647951099,4.03700602742758,-0.238740099702433,-1.53807299311836,-1.0330774182695,1.16386903098563,-0.933770253343989,0.376865054740598,-1.27319932549728
21,"CDC Royale AGL","Canada","Americas","2",-3.92451575796196,-1.68762497558788,0.427526975769784,1.25011164845505,-2.01453890677364,-0.390556341831774,-1.13277458928206,-0.590760985623312,0.363960312177013,0.175226167645747
22,"CDC Ruby AGL","Canada","Americas","3",4.81133762773424,-6.19432041715855,3.31269040822032,-2.59456014186894,-0.975148391420348,-0.942983153596375,-0.837056865972831,0.349529996552028,-0.0372615874542155,0.296618467289502
23,"CDC SB-1 AGL","Canada","Americas","1",-14.1565806070375,-3.37202875122853,-3.59623061345375,-1.16355789364824,2.91263612483684,0.486292176367227,-0.512761486064848,-0.320925805824976,0.22821259721876,0.806831091714528
24,"CDC Sedley AGL","Canada","Americas","2",-3.06119496294563,-0.41329773972009,0.605413354912523,1.44913632343626,-3.24494273630938,-0.0822799623358877,-1.61603450481389,-0.410936300509204,0.108703347780407,0.883064936506694
25,"CDC Vantage AGL","Canada","Americas","2",-2.38483669719198,-1.76750752963742,-1.52238283690801,-2.85931229594091,-2.2530125131346,-0.497244677991735,0.692901860867643,-1.27384896132775,1.15630980354736,-0.422685444725467
