"Name","DTF_Ro16","DTF_Ro17","DTF_Su16","DTF_Su17","REP_Ro16","REP_Ro17","REP_Su16","REP_Su17","TFT_0_Su16","TFT_Tb_Su16","TFT_0_Su17","TFT_Tb_Su17","TFT_0_Ro16","TFT_Tb_Ro16","TFT_0_Ro17","TFT_Tb_Ro17","TRT_0_Su16","TRT_Tb_Su16","TRT_0_Su17","TRT_Tb_Su17","TRT_0_Ro16","TRT_Tb_Ro16","TRT_0_Ro17","TRT_Tb_Ro17","PC1","PC2","PC3","PC4"
"CDC_Royale_AGL",49,48.7,54,56.3,48,NA,46,35,686.9,1822.6,699.2,1946.2,762.6,1951.6,697.4,1897.4,878.2,2180.1,710,1754,962.9,2354.9,0,0,-3.9245,-1.6876,0.4275,1.2501
"CDC_Ruby_AGL",49.7,46,51,52.7,48.3,36,49.7,37,640.1,1229,630.5,1254.5,762.6,1414.5,642.9,1234.9,931.9,1686.9,743.2,1351.2,972.3,1751.4,729.6,1321.6,4.8113,-6.1943,3.3127,-2.5946
"CDC_SB.1_AGL",44,42.7,47,47.3,52,37.3,48,40,563.9,1508.9,568.3,1548.3,653.6,1672.4,560.7,1517.7,923.6,2246.6,756.3,1876.3,1066.1,2566,757.3,1859.3,-14.1566,-3.372,-3.5962,-1.1636
"CDC_Sedley_AGL",50,49.3,54.3,54.7,48.7,NA,48,NA,724,1938.4,695.6,1927.6,793.4,2031.8,734.5,1994.5,899.6,2224.4,0,0,972.3,2383.5,0,0,-3.0612,-0.4133,0.6054,1.4491
"CDC_Vantage_AGL",47.7,47.7,51.7,53.7,49,34,48,39,640.1,1451.3,664.8,1588.8,715.9,1570,677.5,1574.5,896.4,1894.8,743.8,1579.8,987,2060.1,687.5,1492.5,-2.3848,-1.7675,-1.5224,-2.8593
"CN_105604_AGL",44,44.3,47.7,45.7,45.7,31.3,47,37.3,533.1,1553.1,521.3,1606.3,653.6,1931.6,598.1,1858.1,884.1,2482.1,698.3,2028.3,937.7,2570.7,626,1742,-11.373,-3.4086,-0.0884,0.5212
"CN_105605_AGL",43.3,40.7,45.3,44,51,35,49.3,39.5,504.7,1174.6,515.1,1259.1,622.1,1448.3,545.2,1345.2,922.7,2054.6,750.8,1734.8,1034.6,2273.9,692.9,1567.9,-3.8578,-3.0011,-3.6839,-1.1079
"CN_105715_AGL",43,38.3,43.7,44,46,36.3,50,41,487.1,1435.1,515.1,1538.1,636.8,1798.8,508,1528,935,2515,772.8,2158.8,957.2,2517.6,711.2,1935.2,5.585,-0.3945,-4.561,2.0646
"CN_105732_AGL",48.3,47.3,51,52.3,50.3,32,48.3,35,629.5,1336.2,637,1437,740,1544,677.5,1496.5,914.4,1850.3,687.7,1387.7,994.9,1999.9,634.8,1306.8,9.2187,3.9944,0.5478,0.0113
"CN_105767_AGL",43,39,45.7,44.3,49.7,36.7,48,38.7,504.7,1148.5,521.6,1257.6,636.8,1452.3,514.5,1234.5,902.8,1968.4,713.5,1610.5,1019,2184,730.1,1618.1,-2.4743,3.1653,-0.0392,-4.1025
"CN_105777_AGL",43.3,38.7,44.3,42.3,48.3,38.3,48,40,499,1108,501.7,1152.7,636.8,1382.3,494,1132,899,1873.4,722.2,1562.2,977.2,1999.6,765.2,1623.2,2.1037,3.2011,-3.9296,2.9704
"CN_105789_AGL",44.3,38.7,43.7,44,45,33.7,46,35.3,482.5,1543.9,515.1,1693.1,653.6,2025.2,494,1625,857.3,2540.9,647.1,2015.1,921,2635.5,673,1999,3.2762,-1.4756,-3.1749,0.7901
"CN_105791_AGL",44.3,38.7,44.7,45,50.3,41,50,36,489,794.2,536.8,899.8,638.9,1041.4,494,842,938.5,1483.5,674.1,1081.1,1017.9,1592.9,804.4,1296.4,4.8627,0.9402,1.541,-0.0682
"CN_105862_AGL",50,48.3,53,53,46,NA,43.3,34,675.8,2549.5,649,2529,793.4,2844.5,683.4,2594.4,823.3,2834.1,687.7,2332.7,940.3,3182.2,0,0,5.0706,0.8243,5.4486,-0.0814
"CN_105863_AGL",49.7,46.3,51,52,47,NA,45.7,37.5,640.1,3104.9,637,3237,762.6,3460.4,642.9,3158.9,861.6,3768.8,759.7,3294.7,940.3,4032.9,0,0,4.922,0.0719,3.1727,1.3415
"CN_105864_AGL",49,46.7,54.7,53,48.3,35,42,38,682.3,3442.3,655.4,3566.4,762.6,3706.4,642.9,3380.9,790.8,3688.8,743.2,3441.2,978.8,4497,708.2,3372.2,3.5802,-2.4691,3.6104,3.3973
"CN_105865_AGL",48,47,51,52.7,46,35,45.3,35,640.1,2777.3,637,2877,740,3028,677.5,2978.5,861.6,3382.4,707.3,2723.3,955.6,3644,708.2,2832.2,6.3506,-1.5612,-0.9382,0.7853
"CN_105895_AGL",44.3,42.7,47,46,44.7,30.3,46.3,34,553.3,1460.8,561.5,1541.5,653.6,1686.8,574.6,1594.6,884.5,2177,639.8,1619.8,921,2212.5,626.5,1556.5,7.822,1.8962,0.783,-0.6209
"CN_106265_AGL",49.7,48.7,55.3,57,50.3,NA,45.7,32.5,697.2,2137.2,740.5,2479.5,762.6,2300.1,697.4,2257.4,862.6,2518.6,674.5,1932.5,1012.3,2924.8,0,0,-2.9979,-1.5315,-0.5949,-0.0952
"CN_108369_AGL",50.7,49,53.7,54.5,47.3,NA,48,37,665.2,1800.1,675.3,1935.3,781.7,2058.5,705.4,1945.4,897.8,2294.6,704.9,1784.9,953.2,2412.4,0,0,-1.4235,-3.5424,-1.8753,1.5658
"CN_108370_AGL",52,50.7,56,58,48,NA,48,32,720.2,1635.8,732.6,1767.6,819.2,1826.8,727.8,1711.8,916.7,1984.9,641.6,1377.6,977.8,2099.9,0,0,6.7893,-6.3404,-0.97,1.5257
"Crimson_AGL",49,47,51.7,55.3,47,31.5,45.3,33,640.1,1498.1,685.6,1651.6,762.6,1705.6,663.6,1575.6,863.6,1875.6,652.2,1411.2,962.9,2066.9,636.3,1404.3,-2.1641,-3.2851,-0.657,1.4263
"DPL_62_AGL",45,41,45,42.7,48,35.7,48.7,41,519.3,1300.1,492.3,1242.3,672.8,1616.3,558.5,1416.5,918.5,2114.1,766.2,1816.2,1001.4,2250.9,711.7,1647.7,-1.4977,-3.0317,1.666,0.7925
"Eston_AGL",44.7,45,49.7,49,50.3,35,49.7,40.3,605.7,1956.2,605.7,2049.7,665.3,2078.7,621.5,2025.5,930.8,2755.8,776.8,2334.8,1032.7,2980.9,719.9,2123.9,-2.3249,0.7936,-1.9668,0.6535
"Gudo_AGL",45,42.3,46.3,45.3,48.7,34.3,45.3,39.7,537.6,2689.2,546.1,2824.1,672.8,3185.1,560.7,2870.7,845.2,3779.2,743.7,3423.7,1001.4,4328.5,682.3,3062.3,7.6253,-0.5081,1.9695,1.5346
"IG_1046_AGL",45.3,42.7,48,47.3,51.3,37,51,42,567.7,1505.3,568.3,1618.3,672.8,1812.4,560.7,1616.7,972.6,2496.2,793.5,2053.5,1030.1,2600.9,737.7,1921.7,7.7719,-3.6337,2.4456,-1.8975
"IG_1706_AGL",44.3,43.3,45,46,53.3,37,50,43,514.8,1689.7,552.1,1878.1,653.6,2082.8,594.3,2029.3,957.6,2890.5,825.1,2541.1,1065.3,3169.4,737.6,2254.6,18.0225,-3.6484,-0.4843,1.3109
"IG_1959_AGL",44.3,43.7,47.3,47.3,48.3,32.3,43.3,38.3,557.9,1758.1,577.7,1873.7,653.6,1985.6,594.3,1924.3,805.3,2323.2,712.2,2080.2,982.9,2758.9,662.6,1916.6,-7.4013,3.36,1.8468,-4.1521
"IG_4258_AGL",43.7,41.3,45,44.3,47,33,44.7,38,511.5,1669.5,515.1,1755.1,622.1,1992.3,544.6,1856.6,840.8,2577.8,693,2213,956.9,2851,660.7,2013.7,-11.8737,4.4489,3.0686,0.0753
"IG_4781_AGL",49.5,49.7,55,54.7,46.5,31,41,29,700.4,2188.7,675.3,2229.3,762.6,2316.5,705.4,2265.4,790.8,2315.4,605.2,1752.2,940.3,2721.6,612.5,1821.5,9.0669,1.6174,3.5616,1.7914
"IG_858_AGL",45,44.7,48.3,48,52.3,32.7,45.3,40,577.7,1709.9,605.3,1897.3,672.8,1964.1,612,1908,839.8,2338.3,776,2170,1065.3,2915,661.1,1849.1,2.8689,1.6487,4.3393,0.045
"ILL_10657_AGL",43.3,41.3,43.3,44.3,47,33,50,38.7,503.5,1441.1,515.1,1445.1,636.8,1707.8,544.6,1536.6,935,2400,713.5,1883.5,956.9,2395.1,660.7,1683.7,5.2332,0.7693,-5.5342,-1.7278
"ILL_10748_AGL",46,46,48.3,48,44.7,37,44.7,38,588.3,1103.1,585,1125,692.9,1259.1,642.9,1197.9,839.8,1483.3,756.3,1356.3,921,1591.5,729.6,1284.6,-7.1119,2.9498,2.5136,0.5112
"ILL_11547_AGL",44.5,42.3,44.3,43.3,52.5,32.7,52.3,41.3,499,1117,517,1189,653.6,1427.6,560.7,1286.7,974.1,2045.3,750.8,1611.8,1032.7,2129.2,663.4,1389.4,13.0352,-0.4716,-2.3558,2.4224
"ILL_11548_AGL",43,39.7,46.3,44.3,48.3,36.7,49,41,533,1051.4,515.1,1042.1,636.8,1235.3,514.5,1054.5,923.6,1717.4,759,1456,996.7,1834.6,728.5,1394.5,5.944,2.3984,-0.9925,-0.1847
"ILL_11553_AGL",44.7,42.3,45.3,45.7,44.3,32.7,45.3,38,514.8,1475.8,521.3,1513.3,653.6,1816.4,560.7,1649.7,843.9,2238.9,698.3,1914.3,921,2374.5,663.4,1752.4,-5.081,4.2415,1.4434,2.0788
"ILL_11555_AGL",43.7,42,44.3,44,47.7,36.7,47,41.3,509.6,1114.4,515.1,1104.1,636.8,1326.3,560.7,1220.7,879.2,1767.5,772.8,1570.8,977.2,1922.8,734.6,1474.6,2.8657,4.9903,-1.2201,3.7603
"ILL_11557_AGL",44,41,45.3,45,46.3,36.3,47.7,37,504.7,974.5,536.8,1097.8,653.6,1265.6,544.6,1088.6,902.8,1680.4,693,1339,956.9,1755.9,728,1357,0.7861,3.1334,-0.2682,1.5673
"ILL_11558_AGL",44,40,44,43.3,50.3,40,50.3,39.5,499,1048,507.7,1096.7,653.6,1344.8,531.2,1151.2,955,1888.3,706.9,1447.9,1034.6,2013.8,803.5,1623.5,-2.9435,3.7777,2.9947,1.5765
"ILL_1220_AGL",46,42.7,48,47,52,37,48,43,588.3,1700.7,568.3,1688.3,704.6,1968.2,560.7,1649.7,919.8,2433.9,828,2236,1062.2,2779.4,737.7,1958.7,3.3791,-2.8872,4.7332,-1.3639
"ILL_1553_AGL",44.7,41.3,45.7,46.7,48.3,38.7,47.3,40.7,525.4,1413.1,552.1,1504.1,653.6,1672.4,558.5,1515.5,902.8,2194,772.5,1920.5,1001.4,2388.1,773.4,1904.4,7.0213,0.549,-0.9761,-2.1012
"ILL_1762_AGL",45,46.7,49,51.7,49,34,43.3,36,616.1,2698.5,620.4,2804.4,672.8,2789.2,642.9,2825.9,820.3,3231.5,704.2,2720.2,1017.9,3877.9,675.1,2681.1,-16.3519,-0.3395,-2.1925,-3.4442
"ILL_1983_AGL",44.3,43,47.7,47,49,33,44.7,37.3,550.1,1919.7,561.9,2057.9,653.6,2259.2,566.2,2084.2,844.6,2770.6,706.4,2378.4,1001.4,3186.8,682.3,2246.3,-9.9758,1.9458,0.7035,2.6901
"ILL_213_AGL",44,41.3,46.3,45,45.7,33.7,45.3,38.5,537.6,2237.1,530.3,2226.3,653.6,2590.4,544.6,2304.6,845.2,3162.7,737,2857,937.7,3412.5,679.5,2549.5,-5.1293,1.7393,-2.822,-1.4777
"ILL_2194_AGL",44,41,49.3,48.3,45.7,38.3,42.3,39,599.6,3440,594.4,3591.4,665.3,3706.7,558.5,3330.5,783.2,4097,759.3,3999.3,937.7,4718.9,767.2,4043.2,-12.896,3.4647,3.0449,0.3137
"PI_431893_LSP_AGL",45.3,44.7,50,50,49,33.3,48,36,622.1,1195.9,601.3,1193.3,672.8,1264.8,598.1,1193.1,913.4,1653.3,728.3,1336.3,998.7,1782.7,681.1,1259.1,5.1544,6.5029,-0.6056,-3.8134
"ILL_2507_AGL",44,41.7,46.7,44.3,46,32,44.3,37.7,533,1569.8,515.1,1538.1,653.6,1870.4,530.4,1615.4,845.2,2303.2,693,1947,956.9,2545.5,642.7,1762.7,-7.9954,2.0554,-0.9093,1.5047
"ILL_2580_AGL",46.3,39.7,45.3,43.3,44.3,34.7,44,39.3,519.3,2023.3,501.2,1941.2,692.9,2554.9,528.4,2078.4,825,2893,706.9,2578.9,900.9,3056.9,690.8,2440.8,-1.7098,7.7089,2.55,0.4338
"ILL_28_AGL",45,44,49.7,47,51,36.7,45,42.3,595.1,2996.1,577.7,3133.7,672.8,3318.3,612,3240,842.4,3929.4,809.7,3862.7,1049.3,4767.3,737.6,3438.6,-10.8394,0.2601,-1.5286,0.2746
"ILL_3025_AGL",44,40,46,44.7,45.7,34,46.7,38,523,1786,506.1,1796.1,638.9,2175.4,531.2,1926.2,883.2,2861.9,693,2327,937.7,2957.1,690.8,2265.8,-13.0543,4.0655,0.892,0.9171
"ILL_313_AGL",45.3,44.7,48.3,47,48.3,36,44.7,41,588.3,2607.9,577.7,2665.7,684.5,2911.3,598.1,2698.1,839.8,3364.3,792.2,3228.2,982.2,3795,719.9,2879.9,1.6082,1.8117,0.4761,0.4869
"ILL_3347_AGL",45.3,42,45,44.7,44,32.7,45,36.3,514.8,1571.9,521.6,1641.6,658.1,1936.1,560.7,1781.7,859.7,2428.3,674.1,1969.1,901.8,2463.8,660.7,1881.7,-12.1324,3.197,0.7694,1.3311
"ILL_358_AGL",44.3,43.3,47,46.3,47,35.3,48,41,563.9,2432.9,552.1,2422.1,665.3,2726.2,580.3,2518.3,923.6,3540.2,772.5,3027.5,960.5,3578.4,698.8,2693.8,4.7083,2.4036,0.1066,1.5593
"ILL_3597_AGL",44,39,46.3,44.7,47.3,35,43.3,37.5,523,2053,515.1,2127.1,653.6,2568.8,514.5,2164.5,806.8,2999.8,655,2527,977.2,3530.8,711.2,2691.2,-13.4711,3.1789,-0.9299,2.2635
"ILL_4164_AGL",44.7,42.3,47.3,48.3,47.3,32.7,45.7,34,557.9,3301.7,552.5,3291.5,653.6,3677.6,560.7,3398.7,864.2,4576.4,629.6,3451.6,982.9,5014.9,663.4,3501.4,-5.706,-0.7127,2.8618,0.5497
"ILL_4400_AGL",47.3,46.3,48.7,52,46.3,34.3,47,37.3,588.3,2388.3,646.3,2737.3,727.6,2815.6,642.9,2640.9,878.9,3228.9,741.4,2679.4,939.1,3340.3,675.1,2511.1,3.321,3.2042,-2.4617,-0.0337
"ILL_4605_AGL",46,45.3,47.3,47.3,47,34.3,46.7,41.3,557.9,1033.9,561.9,1037.9,692.9,1247.7,635.5,1190.5,884.1,1542.1,776,1350,982.2,1683,676.9,1186.9,-4.7974,4.5452,-0.0883,-0.3121
"ILL_4609_AGL",45,45,49,47,48,35.7,47.3,39.7,585,2895,552.9,2928.9,658.1,3286.1,607.4,3232.4,895.4,4255.4,748.2,3628.2,1001.4,4578.4,719.9,3419.9,-6.1675,1.6954,0.1958,-0.222
"ILL_4665_AGL",49,45.7,49.3,53.3,48.3,35.3,48,36,616.1,2101.9,664.8,2344.8,774.3,2492.1,635.5,2189.5,898.1,2774.9,706.4,2146.4,978.8,2982.9,712.1,2224.1,-0.1009,0.7317,-0.5841,0.0702
"ILL_4671_AGL",48.7,46.7,52,50.7,47.3,34.7,44.3,39,654.4,2776,617.1,2801.1,740,3008,642.9,2788.9,843.6,3291.6,772.4,3012.4,962.9,3684.5,690.7,2720.7,3.7302,0.2637,0.4278,2.1508
"ILL_4768_AGL",43.7,38,44.3,42.7,44.7,34.7,45.3,37.3,499,1678,492.3,1692.3,622.1,2016.1,508,1768,840.8,2609.3,684.3,2204.3,922.2,2767.2,691.2,2161.2,-0.9075,0.5344,-3.3752,-1.2478
"ILL_4782_AGL",42,38.3,45,41.3,46.5,34.3,46.7,40,504.7,1537.1,478,1551,617.4,1882.2,494,1596,879.2,2552.4,717.7,2197.7,957.4,2705.8,673,1965,-4.3789,-0.2477,-7.0525,2.3961
"ILL_4783_AGL",49.3,47.7,54,56,48.7,34,45,NA,692.9,2246.9,715,2425,774.3,2399.7,692.6,2292.6,860.7,2562.7,0,0,972.3,2868.6,687.5,2087.5,-0.8042,-3.9188,-1.8665,1.6134
"ILL_4804_AGL",43.7,44.3,47.7,46,47.7,33.3,46.3,36,553.3,2454.1,561.5,2626.5,636.8,2740.3,598.1,2768.1,884.1,3591.3,721.7,3022.7,977.2,3862,661.1,2707.1,-2.1921,-0.9882,5.3935,0.9804
"ILL_4875_AGL",50.7,49.7,55.7,56.7,44,31,41.3,32.3,690.4,1918.9,699.2,2075.2,781.7,2167.7,705.4,2065.4,792.7,2115.7,656.2,1712.2,889.8,2341.8,612.5,1666.5,-3.7396,-1.0394,-2.4101,0.0802
"ILL_4956_AGL",48.7,46,52.3,53.7,48.7,36,48.7,NA,654.4,1824.4,664.8,1966.8,740,2000,642.9,1826.9,913.2,2383.2,0,0,978.8,2522.3,729.6,1913.6,12.1209,2.3064,2.3612,-2.835
"ILL_5058_AGL",51.7,51.3,55.3,54.7,46.3,NA,42,34,705,2800.8,659.8,2699.8,797.1,3033.1,749.5,2975.5,792.7,2888.5,704.9,2540.9,937.8,3381.8,0,0,1.6993,-2.0921,1.686,2.497
"ILL_5151_AGL",45.3,44.7,49,48,46.7,32.7,42,35.3,591.8,3097.6,578.6,3238.6,672.8,3510.7,598.1,3363.1,800.5,3969.6,666.8,3402.8,963.7,4568.6,661.1,3268.1,9.4977,-1.6406,-0.4002,-0.4455
"ILL_5209_AGL",44.7,44.3,47.7,47.7,48.7,31.3,44.7,39,553.3,3058,568.3,3298.3,653.6,3497.6,598.1,3433.1,844.6,4260.1,732,3774,1001.4,4872.4,626,3137,-0.1581,0.3066,-2.3797,-0.7519
"ILL_5480_AGL",49.3,48,54.3,55,48.7,34,50,NA,682.3,1862.3,692.1,1982.1,762.6,2029.5,697.4,1977.4,934.9,2409.9,0,0,972.3,2486.4,687.5,1807.5,7.5215,-1.5443,-0.1023,1.2089
"ILL_5639_AGL",45.7,45.3,47.3,47,48.5,35,46,39.5,553.3,1843.6,568.3,1968.3,672.8,2182.4,621.5,2133.5,864.2,2662.8,772.5,2412.5,982.2,2940.6,696.4,2166.4,-12.1255,-0.2385,-2.5524,3.0725
"ILL_5722_AGL",45,39.3,43.7,44.3,49,41.7,49.7,40.3,487.1,961.1,515.1,1011.1,672.8,1290.7,528.4,1055.4,935,1725,737,1377,1017.9,1852.9,819.1,1533.1,-1.2367,-4.1149,2.5796,1.1033
"ILL_5883_AGL",44,43.3,48,46.3,46.7,32.7,42.3,36.3,588.3,2949.9,561.5,2906.5,665.3,3192.4,580.3,2960.3,805.3,3626.1,662.4,3074.4,956.9,4167,662.6,2972.6,4.8713,0.8876,-0.4831,-0.5523
"ILL_5888_AGL",42.7,38,44.3,41,47.3,36.3,46.7,41,499,493,471.6,471.6,602.7,602.7,494,494,879.2,869.8,770.7,770.7,976.4,976.4,729.5,729.5,-17.5504,0.9539,1.7092,-1.1766
"ILL_5945_AGL",44.7,39,45,41.3,43.3,32.7,45,39,519.3,1613.7,498.3,1583.3,653.6,1935.2,514.5,1624.5,859.7,2432.9,698.6,2063.6,905.5,2471.9,649.7,1870.7,2.0939,-3.2298,-1.21,0.8861
"ILL_6002_AGL",43.3,45,47,47,49.7,37,48.7,41,574.4,1071.2,577.7,1081.7,648.5,1170.5,621.5,1161.5,923.6,1599.8,772.5,1346.5,1018.2,1743.2,753,1323,4.943,1.3818,-0.6283,-0.5998
"ILL_618_AGL",44.7,43.3,47.3,46.7,51,35.3,47.3,40.3,543.3,1451.6,561.5,1611.5,653.6,1758.8,594.3,1714.3,884.1,2261.2,772.5,2002.5,1032.7,2598.4,698.8,1818.8,1.4382,-1.3889,-1.5251,1.1694
"ILL_6182_AGL",44.3,43.7,49,47.3,49.7,37,46,40,585,2627.7,561.9,2737.9,653.6,2972,580.3,2824.3,878.9,3788.2,756.3,3316.3,1017.9,4237.9,737.6,3179.6,2.7365,-0.5876,0.1738,2.0065
"ILL_6211_AGL",46.3,45.7,49.3,46.5,50.3,34.5,46,43.5,595.1,1151.6,552.1,1096.1,692.9,1327.5,635.5,1264.5,861.5,1592.9,828,1532,1010,1845,696.4,1291.4,2.028,-4.1794,-1.3692,1.4621
"ILL_624_AGL",47.7,46.3,51.3,51.3,49,35.7,43.3,38,629.5,1946.7,620.4,2063.4,715.9,2166.7,642.9,2048.9,808,2338.8,741.4,2147.4,987,2809.8,708.2,2076.2,-2.3688,-0.0242,4.0517,0.0172
"ILL_6821_AGL",43.7,44.7,47.7,47,46.3,33.3,43.7,35.7,563.9,4203.9,577.7,4429.7,636.8,4420.3,598.1,4483.1,824.9,5400.9,662.4,4514.4,956.9,6037.6,681.1,4455.1,-5.6561,-7.3841,1.093,-2.7044
"ILL_6853_AGL",49,45,51,49.3,46.3,36,45,39,629.5,3567.3,589.9,3505.9,747.9,4047.9,621.5,3681.5,861.6,4514,728.3,3806.3,946.3,4823.8,719.9,3779.9,-2.7636,0.3474,1.4301,-1.9706
"ILL_7089_AGL",44,41.3,47.3,45.7,49.3,39.5,44.7,41.7,574.4,1578.8,546.1,1532.1,653.6,1708.4,558.5,1548.5,844.6,2100.1,787.9,2005.9,1018.2,2483.2,789,1989,1.8815,-0.9488,1.8584,-0.9149
"ILL_7558_AGL",46,45.7,49.3,48.3,48,33.7,45,40.5,599.6,1222.4,578.6,1208.6,692.9,1380.7,621.5,1305.5,842.4,1620.9,759.3,1479.3,998.7,1885.6,676.9,1322.9,-6.2056,0.9646,0.9782,-0.47
"ILL_7663_AGL",44,39.7,44,44,47,35.3,47.7,38.3,503.6,574.9,521.6,617.6,653.6,747.2,514.5,604.5,895.7,1006.1,706.9,823.9,977.2,1102,709.6,817.6,2.5326,1.5554,4.8182,-2.7551
"ILL_7668_AGL",44.7,42.7,47,47,44.7,32,43.7,36.3,553.3,1516.9,561.9,1581.9,653.6,1751.6,560.7,1583.7,825.6,2110.4,683,1793,921,2293.5,644.6,1636.6,3.8688,2.7393,4.0042,2.8424
"ILL_7716_AGL",47,45,49.3,47,47.7,32,47,41.7,591.8,1003.2,577.7,1045.7,715.9,1211.2,635.5,1116.5,878.1,1446.8,792.2,1338.2,978.6,1588.2,661.1,1090.1,-3.8981,0.9686,-3.3375,2.2041
"ILL_7747_AGL",47.7,45,49.3,47.3,43.7,31.7,42.3,38.3,591.8,3403.6,561.9,3451.9,715.9,4069.9,607.4,3687.4,783.2,4256.6,712.2,3942.2,898.1,4682.1,644.9,3460.9,1.7249,3.0104,-0.5234,0.0988
"ILL_7946_AGL",45.3,43,46.3,45,43.3,32.3,45,37.7,533,2440.2,536.8,2549.8,672.8,2970.5,580.3,2756.3,845.2,3527.2,693,3011,886.3,3556.6,663.4,2775.4,NA,NA,NA,NA
"ILL_7978_AGL",43,41,45,44,49,32.7,47,38.3,514.8,1568.8,515.1,1600.1,636.8,1879.3,558.5,1746.5,899,2531,706.9,2071.9,1019,2794,656,1844,5.0541,-0.297,-3.4005,0.1519
"ILL_7979_AGL",46.3,42,46,47,46.7,34.7,48.7,38.3,523,1606,561.9,1819.9,692.9,2121.7,560.7,1847.7,922.7,2691.6,728.4,2171.4,962.1,2729.3,698.4,2063.4,-2.8775,0.4731,-0.8444,0.891
"ILL_8007_AGL",44,38,43.3,40,44.3,36,48,40.3,472.4,963.8,464.4,996.4,638.9,1307.4,479.9,1039.9,895.7,1769.3,729.2,1508.2,922.2,1781.7,729.5,1469.5,-5.4514,-0.3188,-0.7983,1.5856
"ILL_8009_AGL",44,38.3,45,42.3,46.7,36,45.3,38.3,504.7,1145.6,492.3,1182.3,653.6,1485.2,494,1190,859.7,1876.3,684.3,1558.3,956.9,2042.6,711.2,1575.2,-4.0845,4.0107,2.4478,0.1731
"ILL_8010_AGL",42.7,41.7,45.3,45,47.7,34.3,44.7,38.3,504.7,1102.1,536.8,1229.8,617.4,1351.8,530.4,1212.4,843.9,1770.9,713.5,1532.5,976.4,2013.2,698.4,1468.4,2.7366,5.0873,5.0715,1.1842
"ILL_8072_AGL",45,43.7,47,49,50.3,37.7,45.7,39,574.4,3018.8,589.9,3109.9,684.5,3374.9,580.3,3062.3,864.9,3988.3,776.8,3646.8,1032.7,4643.5,753.2,3527.2,-8.4233,-0.3537,2.018,2.2333
"ILL_8174_AGL",45.3,45.7,50,48.7,52.7,36,47.7,43,616.1,1396.8,594.4,1408.4,684.5,1528.1,621.5,1449.5,898.1,1910.9,776.8,1678.8,1062.2,2238.8,729.6,1580.6,2.616,-3.0977,-1.4261,-2.4257
"ILL_8595_AGL",44,43.7,47,47.3,52.7,35.5,54.3,42.3,563.9,1081.9,568.3,1093.3,653.6,1215.2,580.3,1124.3,1030,1844,793.5,1423.5,1066.1,1892.9,718.1,1294.1,5.3229,-2.5047,-1.6428,-0.4185
"ILL_9_AGL",43.3,39,46.3,42.3,47.7,38.7,46.3,42,533,1441.8,485.9,1326.9,636.8,1679.8,514.5,1444.5,864.9,2171.3,742.8,1931.8,977.2,2407.6,765.2,1974.2,-7.049,0.2284,1.3321,0.8646
"ILL_975_AGL",45.3,42.7,46.3,45.3,45.7,32.3,43.7,37.3,533,4021,530.3,4114.3,672.8,4864.9,560.7,4388.7,825.6,5621.6,677.8,4821.8,941.3,6153.1,663.4,4491.4,-6.4296,0.2028,-5.188,0.3078
"ILL_9888_AGL",45,40.3,45.7,43.7,45.7,33.7,44,37.3,525.4,1838.8,517,1829,672.8,2212,531.2,1864.2,825,2576.2,688,2246,940.2,2853.8,674,2136,9.1362,0.2781,-3.3679,0.2827
"ILL_9932_AGL",45,39.3,46.3,45,43.7,36.3,45.3,36.3,523,1576,536.8,1724.8,658.1,1979.3,514.5,1654.5,845.2,2424.7,674.1,2006.1,905.5,2520.3,709.6,2077.6,-4.5834,3.1436,2.8211,-0.3796
"ILL_9945_AGL",43.3,38.3,45,42.7,45.3,36,45.3,40,514.8,2250.8,492.3,2232.3,636.8,2677.3,508,2308,859.7,3435.7,722.2,3042.2,922.2,3545.7,711.2,2871.2,11.4655,3.8385,1.9891,2.3673
"ILL_9977_AGL",44,39,44.7,43.7,45.3,35.3,47,37.7,478.8,1329.3,501.2,1461.2,638.9,1790.4,514.5,1534.5,879.2,2359.7,688,1904,937.7,2451.1,711.2,1935.2,-4.6197,1.8819,3.2324,1.7364
"ILL_9997_AGL",45.3,41.7,45.7,43.7,47.3,35.3,45.7,40.3,525.4,1297.6,501.2,1221.2,672.8,1579.3,544.6,1344.6,863.5,1939.9,750.8,1734.8,963.7,2115.2,714.6,1614.6,-4.9575,2.831,0.3228,2.3223
"ILWL_118_AGL",45.3,45.3,49.3,50,46,31.3,43.3,37,591.8,1503,601.3,1637.3,684.5,1748.5,607.4,1622.4,802.9,1955.3,704,1740,941.3,2229.3,621.4,1520.4,-11.7386,0.4236,-3.5273,1.7974
"Indianhead_AGL",55,55.7,61.3,61.5,46,NA,45,NA,780.7,2087.9,787.2,2244.2,870.2,2328.4,830.4,2348.4,837.3,2205.3,0,0,930.1,2420,0,0,10.8716,-1.6765,0.5162,0.1517
"IPL_220_AGL",44,39.3,44,41,46,35,45.7,41.7,503.6,1191.8,478,1145,653.6,1488.8,514.5,1234.5,857.3,1878.5,750.2,1716.2,956.9,2047.3,690.8,1530.8,-0.6045,3.0051,4.7902,-0.97
"Laird_AGL",53,51,56,57.7,45,NA,48,NA,730.8,1584.4,720.3,1620.3,854.2,1792.6,763.5,1666.5,916.7,1867.3,0,0,915.8,1854.2,0,0,0.1518,-2.3902,-1.1877,1.8061
