"Name","Alanine_Ro16","Alanine_Ro17","Alanine_Su16","Alanine_Su17","Arginine_Ro16","Arginine_Ro17","Arginine_Su16","Arginine_Su17","Aspartic.acid_Ro16","Aspartic.acid_Ro17","Aspartic.acid_Su16","Aspartic.acid_Su17","Cysteine_Ro16","Cysteine_Ro17","Cysteine_Su16","Cysteine_Su17","Glutamic.acid_Ro16","Glutamic.acid_Ro17","Glutamic.acid_Su16","Glutamic.acid_Su17","Glycine_Ro16","Glycine_Ro17","Glycine_Su16","Glycine_Su17","Histidine_Ro16","Histidine_Ro17","Histidine_Su16","Histidine_Su17","Isoleucine_Ro16","Isoleucine_Ro17","Isoleucine_Su16","Isoleucine_Su17","Leucine_Ro16","Leucine_Ro17","Leucine_Su16","Leucine_Su17","Lysine_Ro16","Lysine_Ro17","Lysine_Su16","Lysine_Su17","Methionine_Ro16","Methionine_Ro17","Methionine_Su16","Methionine_Su17","Phenylalanine_Ro16","Phenylalanine_Ro17","Phenylalanine_Su16","Phenylalanine_Su17","Proline_Ro16","Proline_Ro17","Proline_Su16","Proline_Su17","Protein_Ro16","Protein_Ro17","Protein_Su16","Protein_Su17","Serine_Ro16","Serine_Ro17","Serine_Su16","Serine_Su17","Threonine_Ro16","Threonine_Ro17","Threonine_Su16","Threonine_Su17","Tryptophan_Ro16","Tryptophan_Ro17","Tryptophan_Su16","Tryptophan_Su17","Tyrosine_Ro16","Tyrosine_Ro17","Tyrosine_Su16","Tyrosine_Su17","Valine_Ro16","Valine_Ro17","Valine_Su16","Valine_Su17"
"ILL_5480_AGL",1.358138,1.19772,1.277024,1.207908,2.218376,2.236749,2.205106,2.191303,3.636162,3.417589,3.572539,3.32125,0.2666395,0.2685024,0.2559219,0.2647555,4.968242,4.697608,4.925412,4.621671,1.253035,1.176111,1.222589,1.173779,1.02372,0.8700308,1.118619,0.9894583,1.329725,1.263192,1.295631,1.252459,2.275432,2.117326,2.236679,2.111924,2.037983,1.913103,1.990504,1.88161,0.278185,0.2718689,0.2663997,0.2695363,1.52927,1.475709,1.499626,1.457211,1.318124,1.200139,1.296303,1.22016,31.95674,29.35101,31.82928,29.64427,1.52308,1.436829,1.498698,1.428208,1.105416,1.250096,1.083654,1.123542,0.2501218,0.2333461,0.2431335,0.2335049,0.8986728,0.9013006,0.8811467,0.8693144,1.500808,1.441343,1.463484,1.437857
"ILL_5639_AGL",1.103049,1.032624,1.111832,1.087816,1.921455,1.861192,1.943808,1.973321,3.197132,2.958048,3.201457,3.035328,0.2354212,0.2302495,0.2223646,0.2315567,4.373263,4.118534,4.496328,4.298242,1.049188,0.9930489,1.06593,1.032053,0.9113857,0.7769027,1.036391,0.8998663,1.154081,1.117005,1.1763,1.16805,1.97639,1.862356,2.01501,1.945367,1.845923,1.705441,1.824478,1.761338,0.24642,0.2430771,0.246345,0.2464006,1.344883,1.302746,1.349692,1.345444,1.179706,1.117303,1.198299,1.163947,28.17368,25.69231,29.01031,27.36218,1.354549,1.253337,1.358067,1.308822,0.9532276,1.050218,0.9239246,0.9852279,0.2080104,0.193503,0.2090322,0.2021004,0.7814703,0.7534153,0.7710572,0.7770982,1.300729,1.241948,1.305357,1.316856
"ILL_5722_AGL",1.189074,1.1776,1.146217,1.089101,2.210195,2.33801,2.185509,2.086712,3.467382,3.353654,3.427894,2.939291,0.25495,0.2664307,0.2470472,0.2636838,4.830227,4.712328,4.826093,4.199052,1.150612,1.121304,1.149312,1.024092,1.029321,0.8127463,1.122447,0.8095079,1.253352,1.252882,1.230613,1.157383,2.153127,2.12307,2.127608,1.933749,1.982166,1.897155,1.917695,1.727357,0.2520074,0.245822,0.242857,0.2231578,1.45811,1.488496,1.427481,1.363993,1.239585,1.202585,1.220686,1.141113,30.55993,28.92455,30.53863,26.83748,1.485582,1.446116,1.450701,1.323952,1.022893,1.181988,1.021517,0.9838753,0.2255139,0.2195953,0.2235093,0.2042019,0.8582475,0.8660264,0.8457907,0.7926545,1.42974,1.440564,1.388345,1.325729
"ILL_5883_AGL",1.165972,1.171422,1.201622,1.13761,2.13914,2.34195,2.348518,2.319181,3.463801,3.500098,3.624731,3.312888,0.2512886,0.2826568,0.2526081,0.2661487,4.778214,4.827797,5.126497,4.677024,1.128543,1.165835,1.19606,1.122146,0.979753,0.8168007,1.163339,0.9897559,1.251733,1.309621,1.330664,1.260938,2.128627,2.163496,2.258064,2.095888,1.941571,1.931484,2.012272,1.881064,0.2604334,0.2683684,0.2461107,0.2428364,1.442045,1.520458,1.526087,1.466448,1.236271,1.22791,1.292212,1.206306,30.05417,29.52557,32.49846,29.85935,1.458951,1.485674,1.549862,1.461077,0.9934772,1.245201,1.059331,1.116662,0.216316,0.2205063,0.228377,0.2228298,0.8458735,0.9218349,0.8808571,0.8729941,1.392269,1.462993,1.468529,1.427716
"ILL_5888_AGL",1.059826,1.06613,0.9969133,1.06703,1.726786,1.916527,1.624735,1.852879,2.992154,2.948726,2.853576,2.870067,0.232247,0.2478518,0.228129,0.248039,4.058066,4.071485,3.937983,3.987248,1.023125,1.034405,0.9979737,1.028882,0.8995155,0.8558115,0.9442089,0.9640644,1.083106,1.119102,1.066272,1.105152,1.855466,1.861254,1.805322,1.842833,1.749412,1.698181,1.67825,1.68043,0.2460111,0.2422003,0.2324649,0.2426058,1.257021,1.305988,1.223246,1.278546,1.128796,1.110586,1.095338,1.121799,26.64997,26.11932,25.99511,26.61549,1.262961,1.252795,1.224989,1.245187,0.9387953,1.126873,0.9037871,1.015748,0.2030029,0.2034993,0.1937436,0.2028257,0.7533897,0.7965073,0.7247356,0.775584,1.228823,1.265007,1.181743,1.252685
"ILL_5945_AGL",1.200283,1.133605,1.214173,1.141463,2.189546,2.264632,2.242599,2.106807,3.622692,3.363253,3.701962,3.174725,0.2544833,0.2555715,0.256273,0.249145,4.824111,4.610717,4.984073,4.374262,1.171576,1.146033,1.221183,1.091058,1.076221,0.8960806,1.115517,0.9186335,1.245836,1.21377,1.289258,1.169142,2.144786,2.085218,2.227693,2.00361,1.95297,1.828443,1.976068,1.767521,0.2772546,0.2629983,0.2754802,0.2528382,1.440662,1.435962,1.474865,1.367481,1.212945,1.171575,1.237987,1.174928,30.50277,29.03778,31.72287,28.17075,1.476609,1.418531,1.505132,1.351277,1.050128,1.225953,1.094452,1.048986,0.2331489,0.2297183,0.2456872,0.2226775,0.8596658,0.8806192,0.869366,0.8264126,1.428763,1.404938,1.475802,1.353588
"ILL_6002_AGL",1.214749,1.166094,1.189598,1.177311,2.13592,2.278615,2.196837,2.315718,3.482139,3.367038,3.478225,3.381874,0.261473,0.2753692,0.2497262,0.2781871,4.785209,4.708445,4.931106,4.731527,1.193295,1.157976,1.190522,1.174524,0.9791703,0.8245493,1.005234,0.9139595,1.251408,1.264212,1.291898,1.278848,2.162386,2.113136,2.2027,2.134227,1.968736,1.908802,1.983257,1.915981,0.2879512,0.2617796,0.2534738,0.2579018,1.460416,1.484323,1.491058,1.486306,1.23139,1.204976,1.264417,1.222686,30.3573,29.07845,31.19047,30.21171,1.466475,1.437954,1.491416,1.466063,1.098893,1.221616,1.074274,1.156687,0.2274955,0.2291436,0.2298445,0.2359898,0.8719853,0.8857687,0.8620255,0.8822324,1.423879,1.437358,1.444581,1.466661
"ILL_618_AGL",1.271153,1.12908,1.184368,1.157094,2.185588,2.033157,2.063519,2.202615,3.664596,3.338442,3.470973,3.317591,0.2733182,0.2765875,0.2535099,0.2651064,4.877789,4.404488,4.729489,4.578835,1.198098,1.084361,1.155092,1.087809,0.9937842,0.7187248,1.08055,0.9522672,1.277588,1.195261,1.237025,1.232378,2.195733,1.991408,2.121339,2.061637,2.026385,1.818913,1.949768,1.87699,0.2855683,0.2772184,0.2638735,0.254255,1.464952,1.373822,1.413515,1.418482,1.275773,1.149588,1.227112,1.195202,31.48115,27.63622,30.61214,30.1511,1.497543,1.349716,1.447431,1.399033,1.1087,1.167813,1.029031,1.125378,0.2412118,0.219528,0.2309273,0.2290422,0.8893824,0.8353096,0.849405,0.8415638,1.454934,1.353938,1.399582,1.409986
"ILL_6182_AGL",1.220459,1.159639,1.183543,1.14627,2.224216,2.22533,2.201246,2.199464,3.550024,3.385698,3.512102,3.271503,0.2544976,0.2688014,0.2518979,0.252611,4.887075,4.615175,4.874222,4.611019,1.182675,1.13192,1.176665,1.114816,1.145532,0.8877575,1.153827,0.9916451,1.268718,1.232473,1.273546,1.233431,2.186593,2.073196,2.17039,2.074479,1.967025,1.868315,1.955881,1.863176,0.2722971,0.2607549,0.2453292,0.2498336,1.46641,1.445944,1.465891,1.438175,1.249956,1.174897,1.240823,1.191833,31.50759,29.0452,31.42526,29.52719,1.469351,1.40125,1.481537,1.400189,1.043515,1.214935,1.066255,1.086642,0.2325013,0.2248829,0.229811,0.2239634,0.8934997,0.8668053,0.8561242,0.8469759,1.446743,1.41071,1.426061,1.415174
"ILL_6211_AGL",1.242429,1.151499,1.229134,1.108758,2.181662,2.167146,2.239511,2.088095,3.502084,3.257132,3.563267,3.037631,0.2566626,0.2625892,0.254355,0.2585055,4.92431,4.545176,4.949181,4.342519,1.19791,1.141551,1.213267,1.082283,0.9733498,0.7996315,1.144074,0.8376728,1.287153,1.225747,1.293784,1.191916,2.206421,2.055134,2.209428,1.979571,2.002841,1.855336,1.994714,1.787138,0.2792318,0.2643635,0.2591102,0.2466891,1.479696,1.433703,1.484008,1.380472,1.272901,1.2009,1.276617,1.172648,30.91414,28.22573,31.79897,28.1068,1.467842,1.389134,1.496884,1.352488,1.036203,1.204729,1.07924,1.060027,0.2307407,0.224168,0.2379194,0.2185922,0.8969096,0.8578857,0.8872669,0.8341862,1.46322,1.391554,1.459233,1.361594
