"Name","Alanine_Ro16","Arginine_Ro16","Aspartic.acid_Ro16","Cysteine_Ro16","Glutamic.acid_Ro16","Glycine_Ro16","Histidine_Ro16","Isoleucine_Ro16","Leucine_Ro16","Lysine_Ro16","Methionine_Ro16","Phenylalanine_Ro16","Proline_Ro16","Protein_Ro16","Serine_Ro16","Threonine_Ro16","Tryptophan_Ro16","Tyrosine_Ro16","Valine_Ro16"
"CDC_Rosie_AGL",1.1804,2.0258,3.3918,0.2636,4.6979,1.1549,0.7705,1.2451,2.152,1.963,0.274,1.4543,1.2097,29.2779,1.4513,1.0573,0.2213,0.8334,1.4213
"CDC_Rouleau_AGL",1.1978,1.9708,3.2971,0.2365,4.6338,1.1492,0.9711,1.2238,2.124,1.9265,0.2706,1.4172,1.2226,29.6445,1.4098,1.0582,0.2228,0.824,1.3918
"CDC_Royale_AGL",1.2995,2.0237,3.3913,0.2671,4.6475,1.1869,0.9121,1.2683,2.151,1.9688,0.2728,1.456,1.2611,29.7455,1.4396,1.0273,0.2271,0.8235,1.4269
"CDC_Ruby_AGL",1.2963,2.26,3.7395,0.2787,5.069,1.2532,0.9293,1.3261,2.2875,2.0582,0.3012,1.533,1.2896,31.6437,1.539,1.1469,0.2416,0.9013,1.5083
"CDC_SB.1_AGL",1.0602,1.7227,3.0483,0.2442,4.1636,1.029,0.762,1.1095,1.902,1.7481,0.2619,1.2795,1.1261,26.4532,1.2846,0.939,0.1973,0.7593,1.2367
"CDC_Sedley_AGL",1.3131,2.0765,3.4624,0.2855,4.6809,1.1916,0.8579,1.3051,2.1672,1.957,0.2647,1.4845,1.2554,29.5034,1.4739,1.025,0.23,0.8377,1.4526
"CDC_Vantage_AGL",1.181,1.9643,3.3483,0.2664,4.5951,1.1652,0.8533,1.2215,2.0986,1.9316,0.2823,1.4171,1.2034,28.9538,1.4165,1.0959,0.2219,0.8485,1.3801
"CN_105604_AGL",1.1026,1.9404,3.2178,0.2368,4.4353,1.0845,0.943,1.157,2.0063,1.8371,0.2665,1.3515,1.1601,28.46,1.3626,0.9823,0.2088,0.7866,1.3168
"CN_105605_AGL",1.2045,2.0599,3.5087,0.2701,4.6651,1.1372,0.8677,1.2185,2.1084,1.9433,0.2885,1.4147,1.2064,29.6225,1.4312,1.0675,0.2279,0.837,1.3912
"CN_105715_AGL",1.189,2.2137,3.5353,0.2578,4.9468,1.1716,0.9558,1.2994,2.2108,2.0058,0.2782,1.4956,1.2436,30.7444,1.5093,1.0751,0.2245,0.8829,1.4616
"CN_105732_AGL",1.2393,2.2384,3.5806,0.2483,5.0077,1.2192,1.0249,1.292,2.2365,2.0304,0.2798,1.4964,1.3027,31.7825,1.4946,1.1176,0.2359,0.877,1.4631
"CN_105767_AGL",1.1311,1.8255,3.1754,0.2442,4.3306,1.0811,0.8431,1.1399,1.9698,1.836,0.2587,1.3282,1.1655,27.6425,1.3268,0.9754,0.2138,0.7714,1.2918
"CN_105777_AGL",1.2264,2.3114,3.6978,0.2699,4.8024,1.156,1.1278,1.236,2.1479,1.9503,0.2604,1.4522,1.2583,31.1316,1.4742,0.9915,0.2382,0.8381,1.4203
"CN_105789_AGL",1.1941,2.1748,3.5855,0.2541,4.8007,1.1521,1.0463,1.234,2.1318,1.9449,0.2785,1.4267,1.225,30.5845,1.4561,1.0335,0.2339,0.8458,1.4158
"CN_105791_AGL",1.2173,2.3675,3.6456,0.2723,4.8087,1.1481,1.2509,1.2498,2.1592,1.9781,0.2548,1.4789,1.2547,31.576,1.5026,0.9751,0.2334,0.8685,1.4434
"CN_105862_AGL",1.2769,2.1917,3.4901,0.2443,4.8901,1.209,1.087,1.2864,2.2162,2.0361,0.2657,1.4966,1.3013,31.4567,1.5022,1.0667,0.2356,0.8845,1.4653
"CN_105863_AGL",1.2469,2.2237,3.5248,0.2432,4.9531,1.196,1.0758,1.2827,2.2295,2.0285,0.2669,1.4976,1.2988,31.5277,1.4993,1.0691,0.2333,0.8777,1.4546
"CN_105864_AGL",1.4114,2.3608,3.7663,0.2697,5.1408,1.28,1.1195,1.364,2.3177,2.0955,0.2836,1.5653,1.3556,32.9591,1.5668,1.1272,0.2459,0.9288,1.538
"CN_105865_AGL",1.1872,2.1802,3.4281,0.2501,4.8533,1.1718,1.0691,1.2566,2.1586,1.994,0.2572,1.4633,1.2442,30.8509,1.4851,1.0347,0.2287,0.8833,1.4334
"CN_105866_AGL",1.2471,2.3336,3.6269,0.26,5.1,1.2098,1.0237,1.3153,2.2808,2.0472,0.274,1.5342,1.2989,31.9071,1.5337,1.0894,0.231,0.8894,1.4907
"CN_105895_AGL",1.209,2.2025,3.5973,0.2497,4.9202,1.1787,0.9753,1.2767,2.1974,1.9979,0.2735,1.4711,1.2453,30.9624,1.4994,1.0312,0.2353,0.8607,1.4622
"CN_106265_AGL",1.2092,1.9835,3.3578,0.2379,4.6193,1.1547,1.0033,1.2042,2.0971,1.9254,0.2727,1.3985,1.2268,29.5819,1.4066,1.0318,0.2279,0.8237,1.3752
"CN_108369_AGL",1.1752,2.0441,3.3202,0.2411,4.6428,1.1408,0.977,1.2215,2.1108,1.9305,0.2594,1.4246,1.2423,29.7945,1.4139,1.0558,0.2271,0.8307,1.3858
"CN_108370_AGL",1.2885,2.2819,3.7208,0.2632,5.1514,1.2688,0.9892,1.3513,2.3198,2.1341,0.2902,1.563,1.2885,32.0603,1.5826,1.1735,0.2441,0.9308,1.5521
"Crimson_AGL",1.2626,2.0776,3.4468,0.2408,4.7612,1.1955,1.0447,1.2523,2.1655,1.9692,0.2712,1.4481,1.2639,30.5373,1.4436,1.044,0.231,0.8428,1.4256
"DPL_62_AGL",1.1904,2.1565,3.521,0.2502,4.7591,1.1627,1.0916,1.2305,2.1372,1.9417,0.2685,1.4377,1.2385,30.317,1.45,1.0347,0.2284,0.8354,1.3952
"Eston_AGL",1.179,2.0576,3.4179,0.2535,4.6337,1.1453,0.9804,1.2178,2.0956,1.9249,0.2692,1.414,1.2302,29.7403,1.4238,1.0207,0.2263,0.8334,1.3766
"Gudo_AGL",1.2674,2.3743,3.7143,0.275,5.0787,1.2179,1.0727,1.3349,2.2811,2.0676,0.2716,1.5463,1.2972,32.08,1.5725,1.0652,0.242,0.9245,1.518
"IG_1046_AGL",1.3797,2.2844,3.7707,0.2983,4.8945,1.2639,1.0932,1.3227,2.2606,2.0609,0.283,1.5277,1.3194,32.274,1.5528,1.132,0.2527,0.9184,1.5092
"IG_1706_AGL",1.4919,2.5636,4.1117,0.3153,5.3549,1.3409,1.2282,1.432,2.4428,2.2125,0.3073,1.6362,1.3921,35.1373,1.6776,1.1783,0.2707,0.9822,1.6459
"IG_1959_AGL",1.1252,1.8575,3.2739,0.2576,4.358,1.0664,0.8453,1.1442,1.9681,1.8504,0.274,1.32,1.1573,27.8328,1.3513,0.9968,0.2159,0.7935,1.291
"IG_4258_AGL",1.0525,1.8368,3.0952,0.231,4.2664,1.0327,0.9357,1.1288,1.9312,1.806,0.2389,1.3115,1.1346,27.5407,1.3227,0.9273,0.2031,0.7583,1.2769
"IG_4781_AGL",1.319,2.42,3.7727,0.2672,5.222,1.2532,1.1373,1.3634,2.3391,2.1219,0.2792,1.5751,1.3481,33.404,1.5971,1.1123,0.2483,0.9318,1.5518
"IG_858_AGL",1.3178,2.2155,3.5985,0.2812,4.7917,1.1787,0.9714,1.3053,2.1859,1.9855,0.2586,1.4893,1.2816,30.8212,1.4998,1.0254,0.2383,0.8506,1.4692
"ILL_10657_AGL",1.2023,2.0737,3.4158,0.2615,4.6572,1.1677,0.9835,1.2193,2.1019,1.936,0.2628,1.4154,1.2251,29.9106,1.4391,1.0553,0.2316,0.8415,1.3924
"ILL_10748_AGL",1.1231,1.9574,3.1777,0.2344,4.4672,1.1019,1.0319,1.1621,2.0181,1.8658,0.2589,1.3544,1.2087,28.9602,1.3586,0.9864,0.2153,0.8137,1.3137
"ILL_11547_AGL",1.3555,2.418,3.9717,0.2841,5.2769,1.2796,1.0778,1.3819,2.3652,2.1224,0.2931,1.5816,1.3188,33.12,1.5993,1.1436,0.2586,0.939,1.583
"ILL_11548_AGL",1.2341,2.1955,3.6118,0.2589,4.9152,1.1975,0.9614,1.2859,2.2069,2.0106,0.2838,1.48,1.2572,30.9492,1.4934,1.0873,0.2392,0.8754,1.4663
"ILL_11553_AGL",1.1267,2.0415,3.2809,0.2367,4.5397,1.0948,1.0851,1.1871,2.0435,1.8743,0.2425,1.377,1.2153,29.7373,1.3796,0.9648,0.2149,0.8036,1.3462
"ILL_11555_AGL",1.1873,2.221,3.538,0.2526,4.8371,1.1754,1.1505,1.2553,2.1676,1.9579,0.2657,1.457,1.2766,31.1657,1.4574,1.053,0.2288,0.8613,1.4142
"ILL_11557_AGL",1.1841,2.1078,3.3878,0.2422,4.7235,1.1333,1.0412,1.23,2.1194,1.9439,0.2547,1.4323,1.2406,30.0219,1.4265,1.0026,0.2215,0.8275,1.3929
"ILL_11558_AGL",1.128,2.0727,3.3072,0.236,4.5069,1.0797,1.2405,1.1725,2.0288,1.8577,0.2428,1.3669,1.2172,30.1287,1.3798,0.9214,0.2199,0.794,1.3336
"ILL_1220_AGL",1.3135,2.2303,3.7442,0.2825,5.0066,1.2487,0.9903,1.3156,2.2593,2.0806,0.2955,1.5093,1.2683,31.4543,1.5495,1.1196,0.2461,0.9243,1.5125
"ILL_1553_AGL",1.2316,2.1771,3.5396,0.2693,4.8032,1.1757,0.9854,1.2663,2.1668,1.9959,0.2707,1.4692,1.2412,30.6171,1.4934,1.1001,0.2376,0.8953,1.4428
"ILL_1762_AGL",1.0752,1.622,3.0594,0.2427,4.0788,1.0117,0.6326,1.0752,1.8499,1.7708,0.2592,1.2347,1.0944,25.6416,1.248,0.9431,0.2035,0.7222,1.2172
"ILL_1983_AGL",1.0725,1.9652,3.2242,0.2358,4.4198,1.0668,1.036,1.1574,1.9921,1.8384,0.2419,1.3429,1.1616,28.664,1.3617,0.9466,0.2102,0.7762,1.3143
"ILL_213_AGL",1.153,1.931,3.446,0.2597,4.5301,1.0841,0.7928,1.1723,2.0248,1.8919,0.2798,1.3465,1.1726,28.5804,1.3657,1.0302,0.2211,0.8041,1.331
"ILL_2194_AGL",1.0518,1.9244,3.1535,0.2378,4.3125,1.0327,0.9586,1.1346,1.9296,1.7934,0.2448,1.3092,1.1717,28.2117,1.3302,0.9345,0.2078,0.7841,1.273
"ILL_2507_AGL",1.0678,1.9489,3.1801,0.236,4.3914,1.0615,0.9853,1.1534,1.9847,1.8374,0.2396,1.3469,1.1587,28.3422,1.3598,0.9592,0.2076,0.7756,1.3087
"ILL_2580_AGL",1.117,1.9846,3.2829,0.2327,4.5097,1.0884,1.0424,1.1694,2.0214,1.8692,0.2545,1.3576,1.1867,29.0429,1.3725,0.9453,0.2165,0.8013,1.3379
"ILL_28_AGL",1.1002,1.8349,3.0672,0.2276,4.3366,1.046,0.8399,1.1368,1.9512,1.8141,0.2494,1.3168,1.1672,27.362,1.3148,0.9248,0.207,0.7866,1.2779
"ILL_3025_AGL",1.0538,1.8105,3.105,0.2254,4.2771,1.0243,0.8839,1.1212,1.9169,1.7916,0.2447,1.2993,1.1125,26.9975,1.3077,0.94,0.2011,0.7537,1.2651
"ILL_313_AGL",1.1732,2.0943,3.4422,0.2578,4.7561,1.1488,0.9524,1.248,2.1296,1.9286,0.2761,1.438,1.2145,29.781,1.4398,0.9945,0.2213,0.8498,1.4019
"ILL_3347_AGL",1.0855,1.8776,3.1672,0.2443,4.3592,1.0674,0.9459,1.1434,1.9675,1.814,0.2614,1.327,1.1457,27.927,1.331,0.9658,0.2056,0.7825,1.2876
"ILL_358_AGL",1.2426,2.1865,3.5325,0.2499,4.9274,1.181,0.9667,1.2915,2.2009,1.9728,0.2787,1.4803,1.2795,30.8355,1.4795,1.0296,0.2252,0.8667,1.4438
"ILL_3597_AGL",1.0855,1.8524,3.0902,0.24,4.2921,1.0405,0.9092,1.1339,1.9401,1.7699,0.2546,1.3051,1.1395,27.3435,1.3048,0.9122,0.2045,0.7837,1.2769
"ILL_4164_AGL",1.1185,2.0916,3.3969,0.2612,4.617,1.0961,0.9635,1.2215,2.0837,1.8796,0.2611,1.4127,1.1953,29.3531,1.4175,0.9828,0.2157,0.838,1.3771
"ILL_4400_AGL",1.1451,2.0939,3.3389,0.2553,4.6869,1.1416,0.9889,1.2181,2.098,1.8945,0.2682,1.413,1.2164,29.6047,1.4067,0.9979,0.2241,0.8429,1.375
"ILL_4605_AGL",1.1638,1.9542,3.233,0.2501,4.5017,1.1153,0.8548,1.1889,2.0472,1.8766,0.273,1.3827,1.206,28.3905,1.3612,0.9834,0.2119,0.8017,1.339
"ILL_4609_AGL",1.1196,1.9863,3.2816,0.2503,4.5436,1.0953,0.8903,1.1838,2.0515,1.8687,0.2642,1.3804,1.1789,28.6897,1.3763,0.9903,0.2153,0.8263,1.3488
"ILL_4665_AGL",1.1566,2.0309,3.2906,0.2488,4.638,1.1296,0.9253,1.2163,2.1044,1.9256,0.2731,1.4172,1.2283,29.7951,1.4099,1.0138,0.2207,0.8253,1.374
"ILL_4671_AGL",1.2578,2.1474,3.4537,0.2449,4.9175,1.1877,0.981,1.2792,2.2269,2.0277,0.2889,1.4861,1.2929,31.4944,1.471,1.101,0.231,0.8706,1.454
"ILL_4768_AGL",1.1387,2.0347,3.3346,0.2544,4.5083,1.102,0.8967,1.1797,2.0445,1.8243,0.2701,1.3658,1.1772,28.7609,1.375,0.9634,0.2194,0.8184,1.3475
"ILL_4782_AGL",1.1615,2.0545,3.4201,0.257,4.5528,1.1138,0.8869,1.1835,2.0593,1.8736,0.2854,1.378,1.1805,29.1237,1.3894,1.0405,0.2215,0.8268,1.3593
"ILL_4783_AGL",1.2755,2.0825,3.3976,0.2505,4.8559,1.1952,0.8925,1.2765,2.2026,2.0063,0.2874,1.4796,1.2612,30.6194,1.4578,1.0517,0.2328,0.8896,1.4521
"ILL_4804_AGL",1.2324,2.0893,3.4379,0.2539,4.7227,1.1702,1.0958,1.2373,2.1437,1.949,0.2734,1.4371,1.241,30.6795,1.4347,1.0333,0.2291,0.8697,1.4143
"ILL_4875_AGL",1.182,1.9914,3.3841,0.2672,4.6035,1.1443,0.931,1.2195,2.0971,1.9575,0.2819,1.4123,1.177,29.1786,1.4426,1.0427,0.2209,0.8464,1.3911
"ILL_4956_AGL",1.2675,2.1834,3.5697,0.2626,5.0018,1.2247,0.9507,1.2965,2.2533,2.0614,0.2982,1.5087,1.2901,31.5043,1.5092,1.1094,0.2352,0.9014,1.4698
"ILL_5058_AGL",1.3428,2.2142,3.6134,0.2763,4.9326,1.2335,1.0012,1.3308,2.254,2.0412,0.2822,1.5304,1.2896,31.3418,1.5327,1.0662,0.2391,0.8854,1.504
"ILL_5151_AGL",1.2334,2.2616,3.7076,0.2723,5.029,1.2199,1.0343,1.2914,2.2374,2.0204,0.2942,1.5008,1.256,31.3765,1.5195,1.0844,0.2356,0.9004,1.4709
"ILL_5209_AGL",1.1665,2.0368,3.3987,0.2495,4.6809,1.1299,0.966,1.2335,2.099,1.9503,0.262,1.4161,1.2171,29.7402,1.4438,0.9937,0.2201,0.8414,1.3872
"ILL_5480_AGL",1.3581,2.2184,3.6362,0.2666,4.9682,1.253,1.0237,1.3297,2.2754,2.038,0.2782,1.5293,1.3181,31.9567,1.5231,1.1054,0.2501,0.8987,1.5008
"ILL_5639_AGL",1.103,1.9215,3.1971,0.2354,4.3733,1.0492,0.9114,1.1541,1.9764,1.8459,0.2464,1.3449,1.1797,28.1737,1.3545,0.9532,0.208,0.7815,1.3007
"ILL_5722_AGL",1.1891,2.2102,3.4674,0.255,4.8302,1.1506,1.0293,1.2534,2.1531,1.9822,0.252,1.4581,1.2396,30.5599,1.4856,1.0229,0.2255,0.8582,1.4297
"ILL_5883_AGL",1.166,2.1391,3.4638,0.2513,4.7782,1.1285,0.9798,1.2517,2.1286,1.9416,0.2604,1.442,1.2363,30.0542,1.459,0.9935,0.2163,0.8459,1.3923
"ILL_5888_AGL",1.0598,1.7268,2.9922,0.2322,4.0581,1.0231,0.8995,1.0831,1.8555,1.7494,0.246,1.257,1.1288,26.65,1.263,0.9388,0.203,0.7534,1.2288
"ILL_5945_AGL",1.2003,2.1895,3.6227,0.2545,4.8241,1.1716,1.0762,1.2458,2.1448,1.953,0.2773,1.4407,1.2129,30.5028,1.4766,1.0501,0.2331,0.8597,1.4288
"ILL_6002_AGL",1.2147,2.1359,3.4821,0.2615,4.7852,1.1933,0.9792,1.2514,2.1624,1.9687,0.288,1.4604,1.2314,30.3573,1.4665,1.0989,0.2275,0.872,1.4239
"ILL_618_AGL",1.2712,2.1856,3.6646,0.2733,4.8778,1.1981,0.9938,1.2776,2.1957,2.0264,0.2856,1.465,1.2758,31.4811,1.4975,1.1087,0.2412,0.8894,1.4549
"ILL_6182_AGL",1.2205,2.2242,3.55,0.2545,4.8871,1.1827,1.1455,1.2687,2.1866,1.967,0.2723,1.4664,1.25,31.5076,1.4694,1.0435,0.2325,0.8935,1.4467
"ILL_6211_AGL",1.2424,2.1817,3.5021,0.2567,4.9243,1.1979,0.9733,1.2872,2.2064,2.0028,0.2792,1.4797,1.2729,30.9141,1.4678,1.0362,0.2307,0.8969,1.4632
"ILL_624_AGL",1.2102,2.126,3.4459,0.2541,4.7559,1.1527,1.0516,1.2361,2.1471,1.9456,0.2687,1.437,1.234,30.4741,1.431,1.0134,0.2301,0.8686,1.4199
"ILL_6821_AGL",1.1184,1.9801,3.3754,0.2634,4.5579,1.1085,0.8538,1.1906,2.0397,1.8818,0.2801,1.3784,1.1839,28.7516,1.4007,0.9983,0.2133,0.8202,1.3345
"ILL_6853_AGL",1.1365,1.9582,3.2629,0.2619,4.5544,1.1174,0.8389,1.1942,2.0425,1.8916,0.2776,1.3828,1.1881,28.6164,1.3894,1.0124,0.2152,0.8475,1.346
"ILL_7089_AGL",1.2329,2.2394,3.6417,0.2791,4.8636,1.1721,1.0034,1.2799,2.1923,1.9915,0.2927,1.4811,1.2626,31.1008,1.4901,1.0493,0.23,0.8757,1.4495
"ILL_7558_AGL",1.1277,1.9952,3.2497,0.2528,4.496,1.1043,0.9532,1.1873,2.0341,1.867,0.2692,1.377,1.1906,28.8898,1.3814,1.0051,0.2149,0.828,1.3401
"ILL_7663_AGL",1.1802,2.0821,3.4213,0.2646,4.6752,1.16,1.0786,1.2194,2.1051,1.9158,0.2796,1.4192,1.2129,29.904,1.4443,1.0158,0.2255,0.8591,1.3799
"ILL_7668_AGL",1.1914,2.2436,3.5954,0.2669,4.8749,1.1891,1.1771,1.266,2.186,1.9615,0.2769,1.4678,1.2448,31.4998,1.4846,1.0746,0.2313,0.8764,1.4345
"ILL_7716_AGL",1.3404,2.0824,3.4115,0.2932,4.535,1.1794,0.8664,1.2645,2.1174,1.9217,0.2656,1.4568,1.2754,29.4359,1.449,0.9918,0.227,0.8059,1.4058
"ILL_7747_AGL",1.2024,2.0931,3.4289,0.2589,4.8075,1.1807,0.9003,1.254,2.1602,1.9537,0.2772,1.4516,1.227,29.9606,1.4475,1.0492,0.2265,0.8759,1.4257
"ILL_7946_AGL",1.1359,1.9615,3.3156,0.2601,4.5567,1.1004,0.8412,1.2208,2.0512,1.8787,0.2693,1.3891,1.1974,28.6883,1.3958,0.9841,0.2134,0.8501,1.3587
"ILL_7978_AGL",1.2539,2.1857,3.5258,0.2676,4.811,1.1973,1.086,1.2503,2.1666,1.9486,0.285,1.4449,1.264,30.945,1.4479,1.0594,0.2378,0.8993,1.4311
"ILL_7979_AGL",1.1147,1.9784,3.2553,0.2502,4.4883,1.1117,1.0063,1.179,2.0326,1.8578,0.2615,1.3722,1.1794,28.9023,1.3795,1.0174,0.2125,0.8112,1.3313
"ILL_8007_AGL",1.1197,1.9718,3.2555,0.2498,4.5597,1.1009,0.9014,1.2067,2.0523,1.8961,0.2624,1.3937,1.1795,29.152,1.3869,1.0378,0.2132,0.8162,1.3557
"ILL_8009_AGL",1.1131,2.0391,3.3566,0.2565,4.5753,1.108,0.9922,1.1992,2.0567,1.8657,0.2591,1.3888,1.1777,29.215,1.3962,1.0204,0.215,0.8101,1.3499
"ILL_8010_AGL",1.19,2.2344,3.4858,0.2541,4.7806,1.1508,1.1434,1.2256,2.1321,1.8976,0.2715,1.4332,1.2409,30.6015,1.4257,0.979,0.2241,0.8538,1.395
"ILL_8072_AGL",1.1886,2.0281,3.3347,0.2494,4.6971,1.1495,0.9147,1.2289,2.1153,1.919,0.2838,1.4136,1.2296,29.3446,1.4067,0.9895,0.2205,0.842,1.3861
"ILL_8174_AGL",1.2172,2.0242,3.3499,0.2579,4.6931,1.1769,0.8431,1.2426,2.1344,1.9521,0.2823,1.4341,1.2328,29.5255,1.4249,1.0378,0.226,0.8711,1.4115
"ILL_8595_AGL",1.2716,2.1874,3.5642,0.2585,4.9287,1.2357,1.0026,1.2847,2.2339,2.0026,0.2934,1.4871,1.2822,31.1214,1.4755,1.0978,0.238,0.8931,1.4663
"ILL_9_AGL",1.1668,2.0383,3.3547,0.2566,4.5729,1.1216,0.9535,1.2013,2.0552,1.8533,0.2782,1.3784,1.2136,29.1724,1.3844,0.9657,0.2175,0.8395,1.346
"ILL_975_AGL",1.108,1.8497,3.1462,0.2421,4.4519,1.072,0.8099,1.1846,2.0107,1.8417,0.265,1.3601,1.1593,27.4502,1.3654,0.8888,0.2053,0.8031,1.3193
"ILL_9888_AGL",1.2037,2.2163,3.542,0.2597,4.8951,1.1744,0.9752,1.2902,2.1967,2.0249,0.2615,1.4967,1.2454,30.9797,1.5181,1.095,0.2336,0.8814,1.4626
"ILL_9932_AGL",1.1103,2.0411,3.3328,0.2458,4.4995,1.07,1.0118,1.1777,2.0168,1.8645,0.2483,1.3653,1.1877,29.4,1.3783,0.9769,0.2162,0.7992,1.3402
"ILL_9945_AGL",1.2268,2.3931,3.7656,0.2673,5.1568,1.2204,1.167,1.3391,2.2877,2.0469,0.2681,1.5479,1.2972,32.5257,1.5675,1.0934,0.2364,0.9105,1.4986
"ILL_9977_AGL",1.1363,2.0811,3.3573,0.247,4.6186,1.1176,1.048,1.2121,2.0731,1.9136,0.2485,1.4081,1.1952,29.816,1.4251,1.0321,0.2187,0.8317,1.3786
"ILL_9997_AGL",1.1243,2.0271,3.3206,0.2354,4.554,1.1094,1.1267,1.1894,2.0487,1.8657,0.256,1.3805,1.1982,29.4538,1.3887,0.9859,0.2158,0.8104,1.3424
"ILWL_118_AGL",1.0804,1.8355,3.1415,0.2359,4.2796,1.0427,0.9354,1.1372,1.9462,1.8057,0.2547,1.3155,1.1613,27.7788,1.3109,0.9738,0.204,0.7758,1.2704
"Indianhead_AGL",1.2865,2.3202,3.7998,0.2619,5.1587,1.2581,0.955,1.3633,2.3483,2.137,0.2921,1.569,1.2674,32.6011,1.6034,1.1915,0.247,0.9282,1.5886
"IPL_220_AGL",1.1508,2.0164,3.3666,0.2467,4.6024,1.1156,1.0305,1.1925,2.065,1.8925,0.2719,1.3877,1.1947,29.6041,1.3936,1.0018,0.2149,0.8109,1.3483
"Laird_AGL",1.2375,2.141,3.4616,0.259,4.871,1.2112,0.9338,1.2813,2.2085,2.0096,0.2831,1.4877,1.2566,30.4747,1.4796,1.0864,0.235,0.8872,1.4614
"LIRL.22.46_AGL",1.1845,2.0155,3.3984,0.2673,4.588,1.1551,1.0015,1.2085,2.0767,1.9058,0.2803,1.3981,1.2044,29.5427,1.405,1.0423,0.224,0.8392,1.3691
