"Name","Alanine_Ro16","Arginine_Ro16","Aspartic.acid_Ro16","Cysteine_Ro16","Glutamic.acid_Ro16","Glycine_Ro16","Histidine_Ro16","Isoleucine_Ro16","Leucine_Ro16","Lysine_Ro16","Methionine_Ro16","Phenylalanine_Ro16","Proline_Ro16","Protein_Ro16","Serine_Ro16","Threonine_Ro16","Tryptophan_Ro16","Tyrosine_Ro16","Valine_Ro16"
"X3156.11_AGL",1.1705,1.9601,3.3108,0.2446,4.6282,1.1539,0.8896,1.2125,2.1126,1.9314,0.2777,1.4088,1.2104,29.1435,1.3997,1.0439,0.2218,0.826,1.3862
"CDC_Asterix_AGL",1.2152,2.0455,3.3906,0.2526,4.684,1.1561,0.9098,1.241,2.1255,1.9464,0.2793,1.4315,1.2373,29.8997,1.4317,1.051,0.2231,0.8318,1.4002
"CDC_Cherie_AGL",1.1702,1.9912,3.3409,0.2533,4.6136,1.1328,0.8608,1.216,2.0995,1.9111,0.2688,1.4053,1.2195,29.363,1.4022,1.0125,0.2198,0.814,1.3776
"CDC_Glamis_AGL",1.1706,1.9764,3.2685,0.2644,4.5781,1.158,0.8338,1.2276,2.0872,1.9216,0.2744,1.4201,1.1898,28.8665,1.4249,1.0458,0.2196,0.852,1.3844
"CDC_Gold_AGL",1.2621,2.0378,3.3859,0.2751,4.5995,1.1155,0.9324,1.2719,2.1358,1.9249,0.2569,1.4554,1.2376,30.3265,1.4493,0.9945,0.2276,0.8512,1.4087
"CDC_Greenstar_AGL",1.1909,2.0292,3.3476,0.2591,4.7378,1.1908,0.8193,1.2542,2.1552,1.967,0.2816,1.454,1.2252,29.4712,1.4481,1.0792,0.2257,0.8664,1.4147
"CDC_Imax_AGL",1.2107,2.0915,3.6128,0.2551,4.91,1.2849,0.9407,1.2733,2.1974,1.9874,0.2463,1.4497,1.2119,30.4095,1.4887,1.1504,0.2519,0.8829,1.4508
"CDC_Impower_AGL",1.1893,2.0602,3.4578,0.2478,4.6627,1.2249,1.0372,1.2258,2.1241,1.875,0.2381,1.4036,1.2275,29.943,1.4222,1.104,0.2443,0.8467,1.3717
"CDC_KR.1_AGL",1.2363,2.0301,3.3729,0.2572,4.6358,1.1747,0.9424,1.2249,2.1204,1.9294,0.2791,1.4211,1.2415,29.7385,1.4185,1.048,0.2269,0.8308,1.3872
"CDC_LeMay_AGL",1.1693,2.0832,3.3339,0.2416,4.6896,1.1497,0.884,1.2293,2.1287,1.9428,0.2795,1.4356,1.2152,29.8004,1.4404,1.0298,0.2223,0.841,1.4143
"CDC_Maxim_AGL",1.2316,2.0634,3.4977,0.2582,4.6384,1.2145,0.9789,1.2408,2.1197,1.8668,0.2278,1.4093,1.2503,30.0816,1.4297,1.0276,0.2449,0.8109,1.3764
"CDC_QG.1_AGL",1.2094,2.1693,3.4954,0.2583,4.9203,1.2172,1.0015,1.2926,2.2311,2.032,0.2833,1.4984,1.2517,31.0244,1.507,1.0942,0.2315,0.8894,1.473
"CDC_Red_Rider_AGL",1.2577,2.1998,3.6379,0.2683,4.9663,1.2274,0.9474,1.284,2.2278,2.0306,0.282,1.4972,1.2748,30.9448,1.4976,1.1084,0.2403,0.8852,1.4672
"CDC_Redcoat_AGL",1.3458,2.0188,3.481,0.2882,4.6559,1.2033,0.7574,1.3012,2.1659,1.9951,0.2549,1.4835,1.2402,29.279,1.4929,1.0376,0.2386,0.8347,1.4617
"CDC_Redwing_AGL",1.2738,2.1567,3.5467,0.2649,4.9262,1.1826,0.8332,1.3082,2.2228,2.042,0.2827,1.5062,1.2633,30.5975,1.5166,1.0717,0.222,0.8697,1.4625
"CDC_Robin_AGL",1.2387,2.2079,3.6129,0.2691,4.9171,1.2148,0.9508,1.2782,2.2267,2.024,0.2899,1.4991,1.2506,30.8844,1.5046,1.1292,0.2319,0.8847,1.4632
"CDC_Rosebud_AGL",1.2351,2.1369,3.5627,0.2712,4.8415,1.1976,0.9023,1.2771,2.1983,2.0319,0.291,1.4859,1.2338,30.6309,1.4989,1.1326,0.2314,0.8882,1.452
"CDC_Rosetown_AGL",1.2082,1.9562,3.3091,0.248,4.6036,1.1683,0.8965,1.2154,2.1044,1.9337,0.281,1.412,1.2007,29.2956,1.4184,1.0325,0.2253,0.8305,1.3903
