"Name","Alanine_Ro17","Arginine_Ro17","Aspartic.acid_Ro17","Cysteine_Ro17","Glutamic.acid_Ro17","Glycine_Ro17","Histidine_Ro17","Isoleucine_Ro17","Leucine_Ro17","Lysine_Ro17","Methionine_Ro17","Phenylalanine_Ro17","Proline_Ro17","Protein_Ro17","Serine_Ro17","Threonine_Ro17","Tryptophan_Ro17","Tyrosine_Ro17","Valine_Ro17"
"PI_339283_LSP_AGL",1.0667,2.1177,3.1666,0.2662,4.3085,1.0677,0.7704,1.1533,1.9699,1.7467,0.2511,1.3691,1.141,27.3715,1.3439,1.1501,0.2144,0.8542,1.3189
"PI_339285_AGL",1.1335,2.1417,3.3452,0.2625,4.5915,1.1159,0.8174,1.227,2.0649,1.867,0.2769,1.4214,1.1946,28.5493,1.3919,1.2136,0.2181,0.8772,1.3826
"PI_339289_LSP_AGL",1.1983,2.2791,3.4887,0.2908,4.6991,1.1586,0.7945,1.2493,2.1154,1.8937,0.2782,1.458,1.2182,29.2492,1.4326,1.227,0.2365,0.9006,1.4331
"PI_339292_LSP_AGL",1.2505,2.441,3.7261,0.3005,4.9927,1.2296,0.8959,1.3289,2.2383,2.0205,0.2897,1.55,1.2484,31.2293,1.5484,1.2991,0.2452,0.9596,1.5286
"PI_339296_AGL",1.1885,2.1411,3.4509,0.2835,4.5187,1.1444,0.7668,1.2152,2.0633,1.8785,0.2742,1.4213,1.1734,28.7694,1.3971,1.2336,0.2319,0.863,1.4056
"PI_343026_LSP_AGL",1.1934,2.2352,3.4889,0.2765,4.7147,1.1436,0.8801,1.2528,2.1057,1.9331,0.2731,1.4451,1.2087,30.0992,1.4435,1.2415,0.2311,0.8865,1.4278
"PI_345627_LSP_AGL",1.2355,2.2331,3.2982,0.2607,4.6461,1.155,0.9664,1.2466,2.1019,1.9123,0.2559,1.4591,1.2251,29.6276,1.4357,1.1596,0.2328,0.8932,1.4259
"PI_358602_LSP_AGL",1.1317,2.1311,3.2783,0.2592,4.4941,1.1005,0.9053,1.1887,2.0222,1.848,0.2527,1.4011,1.1548,28.5248,1.3745,1.1701,0.2203,0.842,1.3687
"PI_368647_LSP_AGL",1.1503,2.1483,3.3051,0.26,4.5551,1.1128,0.8452,1.2244,2.0438,1.8684,0.2538,1.4214,1.177,28.9034,1.3975,1.1915,0.2232,0.8517,1.3849
"PI_368651_LSP_AGL",1.178,2.3154,3.5084,0.2752,4.7363,1.1602,0.9687,1.2507,2.1218,1.9142,0.2615,1.4683,1.1965,30.0977,1.445,1.2442,0.2316,0.8866,1.437
"PI_370481_LSP_AGL",1.2413,2.4452,3.5825,0.2787,5.0793,1.2299,0.7915,1.343,2.2618,2.0454,0.2808,1.5691,1.2761,31.048,1.5456,1.2601,0.2423,0.9439,1.5443
"PI_374116_LSP_AGL",1.08,1.9834,2.9916,0.2404,4.2465,1.0535,0.7655,1.1742,1.9447,1.763,0.2321,1.3552,1.1232,27.2149,1.3309,1.0747,0.2089,0.797,1.3391
"PI_374117_LSP_AGL",1.153,2.2791,3.4125,0.2596,4.7565,1.1394,0.8698,1.2707,2.1231,1.9305,0.2646,1.4818,1.206,29.7209,1.453,1.1858,0.2211,0.8977,1.4453
"PI_374118_AGL",1.1203,2.051,3.2255,0.255,4.4484,1.1,0.764,1.184,2.0157,1.8386,0.2517,1.3935,1.1511,27.9088,1.3677,1.1553,0.2127,0.8293,1.3502
"PI_374120_LSP_AGL",1.12,2.0008,3.1856,0.2534,4.4833,1.0986,0.6645,1.2045,2.018,1.8698,0.2639,1.3979,1.152,27.6656,1.3647,1.1707,0.2186,0.8329,1.3703
