"Name","Alanine_Su17","Arginine_Su17","Aspartic.acid_Su17","Cysteine_Su17","Glutamic.acid_Su17","Glycine_Su17","Histidine_Su17","Isoleucine_Su17","Leucine_Su17","Lysine_Su17","Methionine_Su17","Phenylalanine_Su17","Proline_Su17","Protein_Su17","Serine_Su17","Threonine_Su17","Tryptophan_Su17","Tyrosine_Su17","Valine_Su17"
"Indianhead_AGL",1.203,2.2638,3.4268,0.2761,4.7135,1.1807,0.7873,1.2768,2.1895,1.9294,0.2679,1.4921,1.2182,30.4296,1.4921,1.1701,0.2353,0.9125,1.4846
"IPL_220_AGL",1.1309,2.2413,3.2389,0.2578,4.5508,1.1141,1.1181,1.2192,2.0571,1.8356,0.2366,1.4284,1.1945,29.8295,1.4042,1.0799,0.2244,0.8417,1.4002
"Laird_AGL",1.1509,2.106,3.0696,0.2629,4.3985,1.106,0.8769,1.2263,2.0233,1.8171,0.2432,1.4137,1.194,28.4964,1.3895,1.0657,0.2211,0.8564,1.4004
"LIRL.22.46_AGL",1.1646,2.1764,3.1826,0.2588,4.4259,1.1215,1.098,1.2102,2.0322,1.8277,0.2468,1.4071,1.2106,29.6213,1.382,1.0885,0.2253,0.8452,1.3902
"PI_163589_AGL",1.1723,2.2971,3.2305,0.2621,4.6584,1.1493,0.9938,1.2757,2.1256,1.8836,0.2479,1.4805,1.2492,30.2148,1.452,1.0966,0.2305,0.8453,1.4616
"PI_169534_LSP_AGL",1.1255,2.2446,3.2288,0.2811,4.5251,1.1111,0.897,1.2196,2.0532,1.8128,0.2449,1.4283,1.1784,29.2,1.404,1.133,0.2283,0.8733,1.403
"PI_175754_LSP_AGL",1.227,2.3997,3.4356,0.2848,4.8198,1.2004,1.0487,1.2976,2.2016,1.9257,0.2593,1.5109,1.2742,31.4198,1.4976,1.1674,0.2403,0.9032,1.4978
"PI_177430_LSP_AGL",1.0769,2.0274,3.0145,0.26,4.1873,1.0535,0.9682,1.131,1.9299,1.7258,0.2428,1.3294,1.1571,27.9471,1.3059,1.0527,0.215,0.8073,1.3013
"PI_178939_LSP_AGL",1.1146,2.0918,3.1485,0.284,4.3722,1.1229,0.8487,1.2111,2.0075,1.81,0.2558,1.4008,1.1626,28.4794,1.3992,1.1039,0.2244,0.8569,1.3814
"PI_178952_AGL",1.1371,2.0997,3.2608,0.2788,4.4469,1.1259,0.9045,1.2273,2.0456,1.8527,0.2598,1.4106,1.1815,29.2149,1.4151,1.127,0.2275,0.8348,1.4036
"PI_178971_LSP_AGL",1.1554,2.1066,3.2939,0.279,4.4821,1.1171,0.8511,1.2239,2.0366,1.8578,0.2676,1.4105,1.176,28.7322,1.3998,1.1564,0.2256,0.8492,1.3927
"PI_179324_LSP_AGL",1.1409,2.1981,3.2237,0.2707,4.5035,1.1087,0.9737,1.2411,2.0595,1.8303,0.2537,1.4256,1.1989,29.4059,1.4216,1.0616,0.2224,0.8722,1.4121
"PI_179330_AGL",1.0459,1.7209,2.7578,0.2769,3.7322,1.0034,0.7314,1.0799,1.7802,1.622,0.2482,1.2423,1.075,25.0771,1.2479,0.9846,0.2046,0.7926,1.2231
"PI_181771_LSP_AGL",1.1596,2.1394,3.2806,0.2742,4.485,1.1086,0.9121,1.2238,2.0384,1.8645,0.2606,1.4127,1.1762,29.207,1.4039,1.1551,0.2269,0.8436,1.403
"PI_181886_LSP_AGL",1.0989,2.0279,3.0795,0.2549,4.3595,1.0752,0.8363,1.1763,1.9722,1.7732,0.2559,1.3739,1.1717,27.5326,1.3238,1.0526,0.2171,0.8177,1.3368
"PI_182217_LSP_AGL",1.0835,1.9994,3.0206,0.2531,4.2972,1.0645,0.8597,1.1664,1.9471,1.7593,0.2496,1.3526,1.1651,27.4597,1.3128,1.0297,0.2139,0.8035,1.3254
"PI_193546_AGL",1.1462,2.2591,3.2689,0.251,4.631,1.1129,1.0603,1.2447,2.1009,1.8314,0.2427,1.4516,1.2267,29.6139,1.4088,1.0814,0.2208,0.8412,1.4149
"PI_193547_LSP_AGL",1.0628,1.8566,3.0521,0.2629,4.0904,1.0173,0.7736,1.1039,1.8774,1.7302,0.2534,1.2785,1.1014,26.9263,1.2598,1.0696,0.2155,0.7459,1.2768
"PI_193548_LSP_AGL",1.1403,2.1798,3.2743,0.2543,4.5377,1.1141,0.8853,1.2021,2.0619,1.8155,0.262,1.4013,1.1937,29.1689,1.3882,1.0958,0.2315,0.8425,1.3966
"PI_193550_AGL",1.2365,2.4747,3.6088,0.2687,4.9765,1.1941,0.9855,1.307,2.2373,1.9649,0.2745,1.5279,1.2616,31.6975,1.5104,1.1872,0.2456,0.9174,1.5278
"PI_207492_LSP_AGL",1.1736,2.1933,3.3929,0.2822,4.5606,1.1185,0.8679,1.2205,2.0607,1.8943,0.2753,1.4189,1.1904,29.7253,1.4084,1.2046,0.2315,0.8555,1.4011
"PI_209858_LSP_AGL",1.1826,2.4607,3.3716,0.2555,4.8098,1.1642,1.2459,1.2799,2.1564,1.9056,0.2409,1.5006,1.2457,31.5333,1.4831,1.1444,0.2334,0.8863,1.4635
"PI_211052_LSP_AGL",1.2164,2.3002,3.4842,0.2725,4.6663,1.1356,1.0724,1.2376,2.1011,1.9058,0.2628,1.4398,1.2075,30.4828,1.438,1.1447,0.2343,0.8653,1.4355
"PI_212100_LSP_AGL",1.1261,2.115,3.262,0.2775,4.4652,1.0865,0.8659,1.1981,2.0232,1.8382,0.2571,1.3937,1.1581,28.9577,1.3786,1.1333,0.2256,0.8239,1.3817
"PI_212610_LSP_AGL",1.142,2.0814,3.2641,0.2766,4.4528,1.12,0.8982,1.2215,2.0437,1.87,0.2674,1.4055,1.1721,29.2869,1.4093,1.1351,0.2296,0.8463,1.4109
"PI_217949_LSP_AGL",1.1179,2.2031,3.19,0.2332,4.3974,1.0659,1.1627,1.169,1.9984,1.7694,0.2369,1.3793,1.1883,29.2429,1.3423,1.0554,0.2165,0.8028,1.3461
"PI_238758_LSP_AGL",1.1929,2.3127,3.3988,0.2659,4.8274,1.1916,0.913,1.288,2.165,1.9518,0.2687,1.4977,1.2397,30.7624,1.4634,1.2011,0.2387,0.9104,1.483
"PI_244046_AGL",1.3429,2.7752,3.9189,0.3044,5.3388,1.2651,1.1777,1.4155,2.3969,2.0899,0.2783,1.65,1.3386,34.2355,1.639,1.2171,0.2616,0.9944,1.6444
"PI_250156_LSP_AGL",1.0995,2.0634,3.0763,0.2548,4.2771,1.0465,0.9356,1.1562,1.9455,1.7651,0.2424,1.356,1.1392,27.9417,1.3263,1.0505,0.2127,0.798,1.328
"PI_250158_LSP_AGL",1.081,2.1111,3.0427,0.2342,4.2033,1.0214,1.1972,1.1264,1.9162,1.7146,0.2279,1.3254,1.16,28.533,1.2944,1.0103,0.2101,0.7811,1.2917
"PI_251248_LSP_AGL",1.3573,2.8774,4.0822,0.318,5.4484,1.3178,1.2358,1.4302,2.4382,2.0974,0.2893,1.6726,1.3622,35.0967,1.6803,1.2433,0.2676,1.0204,1.6633
"PI_273664_LSP_AGL",1.1336,2.109,3.1632,0.2771,4.4615,1.1081,0.7777,1.2111,2.0441,1.831,0.2439,1.4135,1.1728,28.6149,1.3983,1.1305,0.2257,0.8306,1.3886
"PI_280686_AGL",1.1791,2.1535,3.2315,0.2826,4.4019,1.1147,0.9173,1.2087,2.0422,1.8105,0.2568,1.4148,1.1953,28.7478,1.3895,1.0627,0.2263,0.8459,1.3972
"PI_283604_LSP_AGL",1.2204,2.4156,3.3104,0.2545,4.7933,1.1621,1.0301,1.2869,2.1635,1.9162,0.2568,1.5019,1.2822,30.6919,1.4698,1.1028,0.2335,0.8927,1.4861
"PI_289066_AGL",1.1375,2.2237,3.2628,0.2619,4.5673,1.1426,1.0863,1.2336,2.067,1.8439,0.2524,1.4313,1.1986,29.6743,1.4269,1.1148,0.2272,0.8603,1.4036
"PI_289073_LSP_AGL",1.1482,2.1877,3.2109,0.2622,4.5628,1.124,0.8566,1.2497,2.0819,1.8519,0.2464,1.4466,1.1767,29.1861,1.4342,1.1138,0.2236,0.8503,1.4336
"PI_289079_LSP_AGL",1.1191,2.0982,3.0946,0.2434,4.4438,1.0843,0.9473,1.2021,2.0084,1.8209,0.2365,1.3946,1.1585,28.6531,1.3648,1.0562,0.2208,0.8134,1.3826
"PI_290716_LSP_AGL",1.1131,1.9665,3.0569,0.2601,4.1711,1.0509,0.8548,1.1227,1.914,1.7525,0.2568,1.3183,1.1402,27.4728,1.2836,1.101,0.217,0.79,1.3039
"PI_297285_LSP_AGL",1.1601,2.2264,3.2994,0.2705,4.6766,1.1579,0.8837,1.2589,2.1131,1.8965,0.2652,1.4674,1.2139,29.6025,1.4317,1.1535,0.2336,0.8748,1.4461
"PI_297287_AGL",1.1661,2.2335,3.2881,0.2634,4.6651,1.1749,0.9181,1.2505,2.1242,1.899,0.2698,1.4667,1.2391,29.8501,1.4315,1.1305,0.2347,0.8748,1.4515
"PI_297754_LSP_AGL",1.1284,2.0806,3.1642,0.274,4.3788,1.1081,0.9273,1.2102,2.0141,1.8267,0.2542,1.4019,1.1669,28.5272,1.3946,1.0753,0.221,0.8455,1.3895
"PI_297767_AGL",1.2102,2.2586,3.117,0.2481,4.5444,1.1264,1.0936,1.2414,2.086,1.8508,0.2338,1.4559,1.2487,29.6402,1.4198,1.0235,0.2258,0.8406,1.4211
"PI_297772_LSP_AGL",1.2109,2.3045,3.2558,0.2406,4.5506,1.1217,1.2349,1.2296,2.0882,1.8162,0.2437,1.4412,1.2427,29.8421,1.4002,1.0558,0.2244,0.8562,1.417
"PI_297783_AGL",1.1358,2.1179,3.1834,0.2506,4.435,1.0868,0.8916,1.1844,2.0284,1.8025,0.2567,1.3847,1.1769,28.486,1.3637,1.0806,0.2207,0.8317,1.3729
