"Name","Alanine_Su16","Arginine_Su16","Aspartic.acid_Su16","Cysteine_Su16","Glutamic.acid_Su16","Glycine_Su16","Histidine_Su16","Isoleucine_Su16","Leucine_Su16","Lysine_Su16","Methionine_Su16","Phenylalanine_Su16","Proline_Su16","Protein_Su16","Serine_Su16","Threonine_Su16","Tryptophan_Su16","Tyrosine_Su16","Valine_Su16"
"PI_472327_LSP_AGL",1.0315,1.9388,3.0782,0.2306,4.3079,1.0499,1.1359,1.1426,1.9506,1.7853,0.2231,1.327,1.1334,28.2436,1.3422,0.9483,0.2027,0.7746,1.2873
"PI_472380_LSP_AGL",1.0407,1.8094,3.0101,0.224,4.1804,1.037,1.0342,1.1109,1.9032,1.7687,0.2277,1.2902,1.1186,27.3558,1.306,0.9404,0.2001,0.7496,1.255
"PI_472416_LSP_AGL",1.1063,2.0371,3.3144,0.2467,4.6089,1.117,1.0765,1.2215,2.0698,1.8915,0.2378,1.4099,1.1731,29.3284,1.4159,1.0281,0.2152,0.8217,1.368
"PI_472488_LSP_AGL",1.0709,1.9289,3.1988,0.2255,4.4413,1.0804,1.0099,1.1732,2.0008,1.8176,0.2343,1.3482,1.1388,28.2246,1.3758,0.9469,0.2057,0.7839,1.3216
"PI_472559_LSP_AGL",1.0652,1.8525,3.1119,0.2256,4.3176,1.0632,1.126,1.1431,1.9525,1.7806,0.2264,1.3089,1.1389,28.3265,1.3287,0.8984,0.208,0.7542,1.2814
"PI_472561_LSP_AGL",1.0421,1.8691,3.1065,0.2288,4.3138,1.0491,1.0548,1.1419,1.9384,1.7823,0.2306,1.3098,1.1271,28.0213,1.3218,0.9572,0.2039,0.7794,1.2802
"PI_472569_LSP_AGL",1.0288,1.9194,3.055,0.2267,4.3308,1.0359,1.096,1.1467,1.9494,1.8049,0.2182,1.3231,1.1435,28.5397,1.3367,0.9375,0.202,0.7612,1.2861
"PI_472588_LSP_AGL",1.2542,2.2979,3.617,0.2646,5.0229,1.2367,1.2805,1.3178,2.2524,2.066,0.2681,1.5155,1.285,33.0247,1.5598,1.1091,0.2433,0.9185,1.4992
"PI_472590_LSP_AGL",1.1907,2.0873,3.3672,0.2528,4.581,1.1546,1.1674,1.2034,2.0887,1.9157,0.2522,1.3909,1.22,29.945,1.4126,0.9824,0.2317,0.8538,1.3928
"PI_472615_LSP_AGL",1.1338,2.1299,3.3483,0.2447,4.727,1.136,1.1169,1.2394,2.1098,1.9145,0.2413,1.4298,1.2336,30.4538,1.4352,1.0317,0.2212,0.8497,1.3776
