"Name","Alanine_Ro16","Alanine_Ro17","Alanine_Su16","Alanine_Su17","Arginine_Ro16","Arginine_Ro17","Arginine_Su16","Arginine_Su17","Aspartic.acid_Ro16","Aspartic.acid_Ro17","Aspartic.acid_Su16","Aspartic.acid_Su17","Cysteine_Ro16","Cysteine_Ro17","Cysteine_Su16","Cysteine_Su17","Glutamic.acid_Ro16","Glutamic.acid_Ro17","Glutamic.acid_Su16","Glutamic.acid_Su17","Glycine_Ro16","Glycine_Ro17","Glycine_Su16","Glycine_Su17","Histidine_Ro16","Histidine_Ro17","Histidine_Su16","Histidine_Su17","Isoleucine_Ro16","Isoleucine_Ro17","Isoleucine_Su16","Isoleucine_Su17","Leucine_Ro16","Leucine_Ro17","Leucine_Su16","Leucine_Su17","Lysine_Ro16","Lysine_Ro17","Lysine_Su16","Lysine_Su17","Methionine_Ro16","Methionine_Ro17","Methionine_Su16","Methionine_Su17","Phenylalanine_Ro16","Phenylalanine_Ro17","Phenylalanine_Su16","Phenylalanine_Su17","Proline_Ro16","Proline_Ro17","Proline_Su16","Proline_Su17","Protein_Ro16","Protein_Ro17","Protein_Su16","Protein_Su17","Serine_Ro16","Serine_Ro17","Serine_Su16","Serine_Su17","Threonine_Ro16","Threonine_Ro17","Threonine_Su16","Threonine_Su17","Tryptophan_Ro16","Tryptophan_Ro17","Tryptophan_Su16","Tryptophan_Su17","Tyrosine_Ro16","Tyrosine_Ro17","Tyrosine_Su16","Tyrosine_Su17","Valine_Ro16","Valine_Ro17","Valine_Su16","Valine_Su17"
"CN_105767_AGL",1.1311,1.1798,1.1441,1.156,1.8255,2.2206,2.0355,2.1964,3.1754,3.3323,3.3104,3.2732,0.2442,0.2746,0.2534,0.2776,4.3306,4.6391,4.6002,4.5246,1.0811,1.1489,1.1216,1.1386,0.8431,0.8174,0.9862,0.9286,1.1399,1.2464,1.2131,1.2126,1.9698,2.1034,2.0829,2.0542,1.836,1.8756,1.8952,1.8332,0.2587,0.2631,0.2594,0.255,1.3282,1.4622,1.4052,1.4203,1.1655,1.2091,1.2119,1.1956,27.6425,29.1323,29.5351,29.1459,1.3268,1.4189,1.4028,1.398,0.9754,1.1621,1.0154,1.172,0.2138,0.2293,0.2162,0.2293,0.7714,0.8734,0.8219,0.8665,1.2918,1.4265,1.363,1.3861
"CN_105777_AGL",1.2264,1.1042,1.2014,1.1741,2.3114,2.0426,2.1855,2.4295,3.6978,3.0551,3.5249,3.5182,0.2699,0.2558,0.2614,0.3034,4.8024,4.2972,4.8436,4.8162,1.156,1.0864,1.1633,1.1589,1.1278,0.824,1.1782,0.9584,1.236,1.1795,1.2435,1.2823,2.1479,1.9672,2.1535,2.1784,1.9503,1.793,1.9502,1.9165,0.2604,0.243,0.2692,0.2524,1.4522,1.3724,1.4456,1.5182,1.2583,1.1336,1.2217,1.2282,31.1316,27.4405,31.2324,30.9317,1.4742,1.3345,1.4672,1.5086,0.9915,1.1132,1.0191,1.1859,0.2382,0.2165,0.2311,0.243,0.8381,0.822,0.8556,0.9073,1.4203,1.3562,1.4082,1.4758
"CN_105789_AGL",1.1941,1.1543,1.2346,1.1864,2.1748,2.209,2.3117,2.2345,3.5855,3.315,3.7122,3.1803,0.2541,0.2631,0.2704,0.2645,4.8007,4.5708,5.0569,4.4573,1.1521,1.1173,1.2273,1.1168,1.0463,0.8428,1.0955,1.0007,1.234,1.2195,1.3103,1.2096,2.1318,2.0689,2.2551,2.0519,1.9449,1.8471,2.0175,1.7948,0.2785,0.2605,0.285,0.2494,1.4267,1.4217,1.5007,1.4184,1.225,1.1757,1.2539,1.2071,30.5845,29.061,32.1715,29.1305,1.4561,1.4072,1.5346,1.399,1.0335,1.1527,1.1081,1.0689,0.2339,0.2303,0.2416,0.2307,0.8458,0.857,0.8986,0.8518,1.4158,1.412,1.497,1.4042
"CN_105791_AGL",1.2173,1.1686,1.1486,1.184,2.3675,2.3987,2.2677,2.339,3.6456,3.4954,3.5387,3.3616,0.2723,0.2998,0.2716,0.2905,4.8087,4.7224,4.8377,4.5784,1.1481,1.1487,1.1358,1.125,1.2509,0.9216,1.16,0.9804,1.2498,1.2503,1.2597,1.2306,2.1592,2.138,2.1557,2.0803,1.9781,1.8823,1.9551,1.842,0.2548,0.2664,0.2529,0.254,1.4789,1.4854,1.4626,1.4572,1.2547,1.2269,1.2279,1.2046,31.576,30.1709,31.33,29.4919,1.5026,1.4574,1.4907,1.4345,0.9751,1.1781,0.9997,1.1002,0.2334,0.2361,0.2275,0.2329,0.8685,0.9253,0.881,0.9005,1.4434,1.4374,1.4333,1.4219
"CN_105862_AGL",1.2769,1.2379,1.1604,1.1847,2.1917,2.3781,2.0246,2.2979,3.4901,3.489,3.2898,3.2289,0.2443,0.2688,0.2493,0.2538,4.8901,4.9662,4.6665,4.6486,1.209,1.2039,1.1372,1.1298,1.087,0.9072,1.0041,1.0214,1.2864,1.3217,1.2307,1.258,2.2162,2.215,2.0909,2.094,2.0361,2.0005,1.919,1.869,0.2657,0.274,0.2538,0.2408,1.4966,1.542,1.4077,1.465,1.3013,1.2464,1.2139,1.2284,31.4567,30.7389,30.017,29.7175,1.5022,1.5195,1.4305,1.43,1.0667,1.2273,0.9966,1.1204,0.2356,0.2395,0.2227,0.226,0.8845,0.9292,0.8522,0.8884,1.4653,1.5151,1.384,1.4287
"CN_105863_AGL",1.2469,1.2048,1.1816,1.1688,2.2237,2.3423,2.1658,2.2638,3.5248,3.3373,3.3023,3.2135,0.2432,0.2656,0.2373,0.2456,4.9531,4.8296,4.8326,4.6906,1.196,1.1752,1.161,1.1308,1.0758,0.9271,1.019,0.9135,1.2827,1.2851,1.2576,1.243,2.2295,2.1746,2.1722,2.1004,2.0285,1.9709,1.9689,1.8898,0.2669,0.2617,0.2559,0.2533,1.4976,1.5184,1.4613,1.4641,1.2988,1.247,1.2811,1.2424,31.5277,30.274,31.3606,29.608,1.4993,1.4873,1.4685,1.4136,1.0691,1.2104,1.0568,1.129,0.2333,0.2345,0.2195,0.2234,0.8777,0.9093,0.8427,0.8688,1.4546,1.4812,1.4044,1.4178
"CN_105864_AGL",1.4114,1.1633,1.1607,1.1601,2.3608,2.2001,2.003,2.1809,3.7663,3.3103,3.3417,3.2801,0.2697,0.2677,0.2401,0.2591,5.1408,4.6277,4.6704,4.5816,1.28,1.1318,1.1408,1.1273,1.1195,0.8859,0.9985,0.913,1.364,1.2365,1.2138,1.2244,2.3177,2.0836,2.0905,2.0661,2.0955,1.8773,1.9007,1.8463,0.2836,0.2593,0.2631,0.2543,1.5653,1.445,1.3978,1.4368,1.3556,1.2019,1.2117,1.2066,32.9591,29.1752,29.5027,28.9858,1.5668,1.4135,1.4066,1.3878,1.1272,1.1351,1.0062,1.1185,0.2459,0.2256,0.2157,0.2195,0.9288,0.8664,0.8202,0.8463,1.538,1.4152,1.3567,1.3914
"CN_105865_AGL",1.1872,1.204,1.2844,1.1477,2.1802,2.3113,2.37,2.2475,3.4281,3.4015,3.6072,3.1693,0.2501,0.2738,0.2536,0.2535,4.8533,4.8542,5.1679,4.6151,1.1718,1.1877,1.2488,1.1092,1.0691,0.8404,1.2782,0.9399,1.2566,1.3001,1.3243,1.2354,2.1586,2.1821,2.2991,2.069,1.994,1.9593,2.0569,1.8542,0.2572,0.2672,0.2691,0.2419,1.4633,1.5187,1.5348,1.4485,1.2442,1.2341,1.3267,1.208,30.8509,29.741,33.6934,29.0588,1.4851,1.4998,1.55,1.4067,1.0347,1.1695,1.1004,1.0807,0.2287,0.2341,0.2447,0.2233,0.8833,0.9026,0.92,0.8606,1.4334,1.4923,1.4895,1.4069
"CN_105866_AGL",1.2471,1.1993,1.0928,1.2074,2.3336,2.228,1.929,2.3143,3.6269,3.2623,3.1109,3.1822,0.26,0.2638,0.2352,0.2465,5.1,4.609,4.4213,4.6486,1.2098,1.1257,1.0695,1.1143,1.0237,0.8611,0.9728,1.0631,1.3153,1.2402,1.1643,1.247,2.2808,2.0949,1.9853,2.1244,2.0472,1.8898,1.832,1.8795,0.274,0.2472,0.2298,0.2369,1.5342,1.4586,1.343,1.4696,1.2989,1.2061,1.1681,1.2621,31.9071,28.5125,28.3078,30.1661,1.5337,1.4242,1.3651,1.4369,1.0894,1.1414,0.9255,1.0616,0.231,0.2234,0.2088,0.2259,0.8894,0.8671,0.7854,0.8381,1.4907,1.4264,1.3127,1.4411
"CN_105895_AGL",1.209,1.1764,1.2222,1.2197,2.2025,2.4503,2.2746,2.3711,3.5973,3.4986,3.5951,3.4458,0.2497,0.2823,0.2596,0.2673,4.9202,4.8823,4.9821,4.8094,1.1787,1.1872,1.2,1.1689,0.9753,0.8973,1.0632,0.9108,1.2767,1.2931,1.2971,1.2879,2.1974,2.2108,2.2298,2.1802,1.9979,1.9029,1.9975,1.9262,0.2735,0.2633,0.2695,0.2595,1.4711,1.5166,1.4933,1.5017,1.2453,1.2531,1.2472,1.2436,30.9624,31.1895,31.7249,30.7,1.4994,1.5102,1.512,1.4849,1.0312,1.2129,1.0729,1.1256,0.2353,0.2445,0.2371,0.239,0.8607,0.9119,0.8689,0.8865,1.4622,1.4919,1.4778,1.4925
