"Name","BLUPs_Protein"
"PI_182217_LSP_AGL",30.879151822524
"PI_193546_AGL",30.31757356262
"PI_193547_LSP_AGL",28.6764806186036
"PI_193548_LSP_AGL",30.5249248880507
"PI_193550_AGL",31.1678528764015
"PI_207492_LSP_AGL",29.5633525805405
"PI_209858_LSP_AGL",31.0253330339881
"PI_211052_LSP_AGL",29.4544373724596
"PI_212100_LSP_AGL",28.8177168776142
"PI_212610_LSP_AGL",28.8176958352634
"PI_217949_LSP_AGL",29.1005892003019
"PI_238758_LSP_AGL",30.6372068722701
"PI_244046_AGL",32.4060479283922
"PI_250156_LSP_AGL",28.3717873780682
"PI_250158_LSP_AGL",28.3433381196978
"PI_251248_LSP_AGL",32.3386913632711
"PI_273664_LSP_AGL",28.5826106913917
"PI_280686_AGL",29.5947056833304
"PI_283604_LSP_AGL",30.8361833420562
"PI_289066_AGL",30.7465008426666
"PI_289073_LSP_AGL",29.3653019741925
"PI_289079_LSP_AGL",29.3861759862513
"PI_290716_LSP_AGL",29.2742727643475
"PI_297285_LSP_AGL",30.549165676248
"PI_297287_AGL",31.0281527090041
"PI_297754_LSP_AGL",28.2385051276848
"PI_297767_AGL",29.7215910590507
"PI_297772_LSP_AGL",29.8031301686553
"PI_297783_AGL",30.0350379175462
"PI_297787_LSP_AGL",29.4856642211444
"PI_298023_LSP_AGL",30.8621706453754
"PI_298121_LSP_AGL",30.6365124746915
"PI_298122_LSP_AGL",28.8009671663251
"PI_298357_LSP_AGL",31.9901037788298
"PI_298631_LSP_AGL",29.8493181288055
"PI_298644_LSP_AGL",30.2715539412767
"PI_298645_AGL",30.1636908507391
"PI_298921_AGL",28.9310299370261
"PI_298922_LSP_AGL",29.2704009717882
"PI_298923_LSP_AGL",32.3160497937396
"PI_299116_LSP_AGL",27.7307532012953
"PI_299120_LSP_AGL",28.2454701458214
"PI_299121_LSP_AGL",28.7716341292183
"PI_299126_LSP_AGL",29.2974193502997
"PI_299163_LSP_AGL",30.5311955086087
"PI_299164_LSP_AGL",29.0423439731057
"PI_299165_AGL",29.1874941093773
"PI_299177_LSP_AGL",29.7457055931428
"PI_299237_LSP_AGL",29.8764627614222
"PI_299289_AGL",30.6550718281551
"PI_299312_AGL",31.8452692778212
"PI_299345_AGL",30.5887884229281
"PI_299351_LSP_AGL",28.9780175065092
"PI_299366_LSP_AGL",29.1138879660491
"PI_299375_LSP_AGL",29.2351129493864
"PI_300250_LSP_AGL",29.738614320901
"PI_302398_LSP_AGL",26.672849011522
"PI_308614_LSP_AGL",29.4454733309909
"PI_311107_LSP_AGL",29.3907842610909
"PI_312175_LSP_AGL",29.7774585005991
"PI_320935_LSP_AGL",28.3090601301375
