"Name","Protein_lsm","Histidine_lsm","Serine_lsm","Arginine_lsm","Glycine_lsm","Aspartic.acid_lsm","Glutamic.acid_lsm","Threonine_lsm","Alanine_lsm","Proline_lsm","Cysteine_lsm","Lysine_lsm","Tyrosine_lsm","Methionine_lsm","Valine_lsm","Isoleucine_lsm","Leucine_lsm","Phenylalanine_lsm","Tryptophan_lsm"
"PI_299165_AGL",29.1224,0.9254,1.3804,2.0428,1.1215,3.1849,4.5368,1.083,1.1379,1.2106,0.2458,1.8765,0.8316,0.2557,1.3637,1.2046,2.0481,1.3998,0.2196
"PI_299177_LSP_AGL",29.7856,0.9882,1.4175,2.1048,1.1525,3.3117,4.5959,1.1142,1.198,1.2192,0.2573,1.9073,0.854,0.2607,1.4018,1.2309,2.0881,1.4267,0.2299
"PI_299237_LSP_AGL",29.9409,0.915,1.4459,2.1925,1.1578,3.5515,4.7307,1.1248,1.1945,1.2246,0.2824,1.9347,0.8859,0.2793,1.4215,1.2543,2.1311,1.4451,0.2325
"PI_299289_AGL",30.866,1.0583,1.4905,2.3042,1.1837,3.5657,4.7914,1.1375,1.2524,1.2402,0.2843,1.9737,0.9019,0.2676,1.4733,1.2781,2.1806,1.4967,0.239
"PI_299312_AGL",32.28,1.0226,1.5265,2.4249,1.2425,3.6513,5.1184,1.2001,1.2865,1.3135,0.2665,2.0397,0.9278,0.2776,1.5238,1.331,2.2759,1.548,0.248
"PI_299345_AGL",30.7872,1.0663,1.4552,2.2385,1.1738,3.3909,4.7939,1.1137,1.2164,1.2569,0.2498,1.9409,0.8772,0.2596,1.4419,1.2645,2.1579,1.4696,0.2366
"PI_299351_LSP_AGL",28.8735,0.8857,1.3912,2.061,1.1145,3.3943,4.5226,1.092,1.1853,1.1787,0.2747,1.8894,0.8499,0.2735,1.3749,1.1974,2.0474,1.3884,0.2271
"PI_299366_LSP_AGL",29.0349,0.9456,1.3684,2.0903,1.1047,3.193,4.5739,1.0712,1.1415,1.209,0.2377,1.8616,0.8199,0.2443,1.3661,1.1959,2.0562,1.4017,0.2193
"PI_299375_LSP_AGL",29.179,0.965,1.3944,2.0832,1.1146,3.2601,4.5813,1.0796,1.1584,1.203,0.2492,1.8828,0.8526,0.2558,1.3776,1.2137,2.0597,1.4067,0.2227
"PI_300250_LSP_AGL",29.7772,1.0034,1.4436,2.2076,1.1206,3.4191,4.7243,1.0765,1.1588,1.2173,0.257,1.9057,0.8721,0.2517,1.4197,1.2558,2.122,1.4556,0.2206
"PI_302398_LSP_AGL",26.1348,0.9359,1.246,1.8016,0.9992,2.8632,3.9995,0.9355,1.0252,1.1208,0.2343,1.6685,0.766,0.2324,1.2186,1.0946,1.8442,1.2656,0.1985
"PI_308614_LSP_AGL",29.4289,1.0256,1.4196,2.1558,1.1268,3.3827,4.6285,1.0802,1.1458,1.1944,0.2534,1.8722,0.8657,0.2565,1.3942,1.2267,2.0852,1.4212,0.2229
"PI_311107_LSP_AGL",29.3639,1.008,1.391,2.1174,1.1059,3.2263,4.5621,1.0503,1.1213,1.2109,0.2397,1.8592,0.8194,0.2436,1.3655,1.2092,2.0552,1.4039,0.2197
"PI_312175_LSP_AGL",29.8233,0.8394,1.4613,2.1504,1.1578,3.4223,4.7176,1.1236,1.1828,1.2071,0.2761,1.9583,0.8715,0.2636,1.4396,1.2668,2.1325,1.4657,0.2325
"PI_320935_LSP_AGL",28.0787,0.9514,1.343,1.9203,1.084,3.1705,4.2959,1.0375,1.1402,1.1669,0.2578,1.8211,0.8251,0.2593,1.3097,1.1562,1.9665,1.3406,0.2184
"PI_320936_LSP_AGL",30.2684,0.8761,1.4847,2.2364,1.1807,3.4599,4.77,1.1666,1.2014,1.2093,0.2564,1.9476,0.903,0.2727,1.4555,1.2595,2.1627,1.4772,0.2311
"PI_320937_LSP_AGL",30.755,0.9449,1.5303,2.2911,1.2003,3.4992,4.813,1.1252,1.2588,1.2355,0.2735,1.9866,0.8983,0.2589,1.5032,1.3059,2.2055,1.5127,0.2349
"CN_105866_AGL",29.7234,0.9802,1.44,2.2012,1.1298,3.2956,4.6947,1.0545,1.1866,1.2338,0.2514,1.9121,0.845,0.247,1.4177,1.2417,2.1213,1.4513,0.2223
"PI_320941_LSP_AGL",29.3139,0.9436,1.4199,2.074,1.1308,3.3748,4.5487,1.1126,1.1667,1.179,0.2695,1.9078,0.8518,0.2717,1.3902,1.2137,2.0713,1.4054,0.2253
"PI_320945_LSP_AGL",29.1127,1.0307,1.4046,2.1049,1.1289,3.2355,4.5285,1.0784,1.1382,1.1979,0.2464,1.871,0.8412,0.2561,1.3748,1.2085,2.0627,1.4148,0.2153
"PI_320946_LSP_AGL",27.8999,0.9327,1.3458,1.9693,1.0625,3.1203,4.3448,1.0097,1.0537,1.1476,0.251,1.788,0.8095,0.25,1.2994,1.1606,1.9543,1.3429,0.2093
"PI_320952_LSP_AGL",31.5243,0.8881,1.5748,2.3416,1.2526,3.6942,4.9965,1.2154,1.2982,1.2493,0.2782,2.0497,0.9345,0.2827,1.5521,1.3423,2.2927,1.555,0.2447
"PI_320953_LSP_AGL",29.7524,0.7825,1.4716,2.1708,1.1655,3.4671,4.7229,1.1529,1.2054,1.1941,0.2699,1.9553,0.8839,0.2732,1.4582,1.2605,2.157,1.4683,0.2325
"PI_320954_LSP_AGL",29.5296,0.8713,1.4425,2.13,1.1431,3.2697,4.6482,1.074,1.1753,1.2028,0.2482,1.9007,0.8473,0.2579,1.4268,1.2478,2.113,1.4418,0.2229
"PI_329157_LSP_AGL",31.0521,0.9325,1.5307,2.2875,1.211,3.5536,4.9506,1.181,1.2465,1.2561,0.2795,2.031,0.9353,0.2835,1.4989,1.3148,2.2284,1.5278,0.2375
"PI_329167_LSP_AGL",32.0339,1.0542,1.5494,2.3929,1.2409,3.6435,5.0406,1.1829,1.2825,1.2777,0.2825,2.0335,0.9443,0.2798,1.529,1.338,2.2614,1.547,0.2476
"PI_339266_LSP_AGL",29.9128,0.9313,1.4489,2.1709,1.1661,3.3663,4.6807,1.1171,1.2061,1.2407,0.2672,1.9274,0.8644,0.2641,1.4209,1.2528,2.1273,1.4563,0.2321
"PI_339283_LSP_AGL",28.6576,0.9658,1.3816,2.0659,1.0994,3.2389,4.4613,1.0489,1.1167,1.1747,0.2551,1.8234,0.8342,0.2557,1.352,1.1834,2.0297,1.3838,0.2188
"PI_339285_AGL",30.037,1.0629,1.4207,2.1613,1.1358,3.4095,4.6815,1.0909,1.1563,1.2258,0.254,1.8914,0.8654,0.27,1.3981,1.2339,2.1043,1.4218,0.2253
"PI_339289_LSP_AGL",29.5425,0.9497,1.4225,2.1639,1.1387,3.3895,4.6212,1.0896,1.1875,1.2038,0.2762,1.8908,0.8683,0.2692,1.4033,1.2258,2.0826,1.4219,0.2324
"PI_339292_LSP_AGL",31.8164,1.0496,1.5481,2.3729,1.2409,3.7264,5.0008,1.1884,1.2608,1.2644,0.2908,2.0244,0.9327,0.2875,1.5121,1.3224,2.2507,1.5313,0.2475
"PI_339296_AGL",28.5466,0.8652,1.3777,2.0127,1.1195,3.3326,4.4239,1.0873,1.1822,1.1709,0.2719,1.8574,0.8227,0.2674,1.3639,1.1905,2.0247,1.3819,0.2249
"PI_343026_LSP_AGL",30.3899,0.9909,1.4427,2.1563,1.1618,3.4894,4.7273,1.1445,1.1956,1.2281,0.2676,1.9411,0.8709,0.2786,1.418,1.2446,2.1245,1.4321,0.2329
"PI_345627_LSP_AGL",30.454,0.9998,1.4723,2.2004,1.1825,3.4044,4.792,1.1224,1.2356,1.2437,0.2622,1.9755,0.8992,0.2681,1.4527,1.2718,2.1668,1.4822,0.2353
"PI_358602_LSP_AGL",29.8916,1.0248,1.425,2.1662,1.147,3.4117,4.6284,1.1002,1.1982,1.2105,0.264,1.8973,0.8475,0.2608,1.4061,1.2308,2.0973,1.4335,0.2289
"PI_368647_LSP_AGL",29.8005,0.9594,1.4192,2.1277,1.136,3.3702,4.637,1.1108,1.1836,1.2092,0.2578,1.9036,0.8504,0.2613,1.4004,1.2383,2.0899,1.4308,0.2257
"PI_368651_LSP_AGL",29.6308,0.9764,1.4092,2.1419,1.1361,3.3984,4.6272,1.1164,1.1622,1.1884,0.2579,1.8889,0.8411,0.2622,1.3897,1.213,2.0825,1.4164,0.2266
"PI_370481_LSP_AGL",30.5415,0.8571,1.4933,2.2742,1.1954,3.4574,4.9299,1.155,1.1957,1.2511,0.2646,1.9932,0.8987,0.2718,1.4712,1.2911,2.1975,1.5057,0.2332
"PI_374116_LSP_AGL",28.3719,0.9284,1.3708,2.0108,1.0927,3.1163,4.4192,1.0143,1.1096,1.1546,0.236,1.8195,0.8045,0.2402,1.3582,1.1933,2.0065,1.3752,0.2141
"PI_374117_LSP_AGL",29.4224,0.9675,1.417,2.1459,1.1191,3.308,4.6254,1.0714,1.1267,1.1952,0.2512,1.8852,0.8584,0.2589,1.3895,1.2284,2.0761,1.4289,0.2173
"PI_374118_AGL",29.3445,0.9695,1.4049,2.1049,1.1333,3.3296,4.6017,1.0907,1.1622,1.1979,0.2525,1.883,0.8356,0.258,1.3722,1.2059,2.0722,1.4113,0.2201
"PI_374120_LSP_AGL",28.5777,0.8188,1.3769,1.9813,1.1212,3.2274,4.5309,1.0869,1.1406,1.1897,0.2486,1.8784,0.8216,0.2644,1.3613,1.2021,2.0472,1.3919,0.2224
"PI_374121_AGL",29.6706,0.9231,1.4356,2.1681,1.1481,3.3622,4.6903,1.0995,1.1527,1.2134,0.2638,1.9113,0.8664,0.2656,1.4196,1.2463,2.1106,1.4451,0.2311
"PI_379368_LSP_AGL",29.9007,0.9542,1.4392,2.1911,1.15,3.3882,4.7193,1.0998,1.1506,1.2221,0.2624,1.9128,0.8663,0.2659,1.4202,1.2498,2.1215,1.4497,0.2293
"PI_383682_LSP_AGL",32.2966,1.0735,1.5399,2.3707,1.2456,3.7166,4.997,1.1795,1.3165,1.2817,0.2914,2.0432,0.9225,0.2794,1.526,1.3238,2.2662,1.5359,0.2528
