"Name","DTF_Ro16","DTF_Ro17","DTF_Su16","DTF_Su17","REP_Ro16","REP_Ro17","REP_Su16","REP_Su17"
"ILL_4875_AGL",50.7,49.7,55.7,56.7,44,31,41.3,32.3
"ILL_4956_AGL",48.7,46,52.3,53.7,48.7,36,48.7,NA
"ILL_5058_AGL",51.7,51.3,55.3,54.7,46.3,NA,42,34
"ILL_5151_AGL",45.3,44.7,49,48,46.7,32.7,42,35.3
"ILL_5209_AGL",44.7,44.3,47.7,47.7,48.7,31.3,44.7,39
"ILL_5480_AGL",49.3,48,54.3,55,48.7,34,50,NA
"ILL_5639_AGL",45.7,45.3,47.3,47,48.5,35,46,39.5
"ILL_5722_AGL",45,39.3,43.7,44.3,49,41.7,49.7,40.3
"ILL_5883_AGL",44,43.3,48,46.3,46.7,32.7,42.3,36.3
"ILL_5888_AGL",42.7,38,44.3,41,47.3,36.3,46.7,41
"ILL_5945_AGL",44.7,39,45,41.3,43.3,32.7,45,39
"ILL_6002_AGL",43.3,45,47,47,49.7,37,48.7,41
"ILL_618_AGL",44.7,43.3,47.3,46.7,51,35.3,47.3,40.3
"ILL_6182_AGL",44.3,43.7,49,47.3,49.7,37,46,40
"ILL_6211_AGL",46.3,45.7,49.3,46.5,50.3,34.5,46,43.5
"ILL_624_AGL",47.7,46.3,51.3,51.3,49,35.7,43.3,38
"ILL_6821_AGL",43.7,44.7,47.7,47,46.3,33.3,43.7,35.7
"ILL_6853_AGL",49,45,51,49.3,46.3,36,45,39
"ILL_7089_AGL",44,41.3,47.3,45.7,49.3,39.5,44.7,41.7
"ILL_7558_AGL",46,45.7,49.3,48.3,48,33.7,45,40.5
"ILL_7663_AGL",44,39.7,44,44,47,35.3,47.7,38.3
"ILL_7668_AGL",44.7,42.7,47,47,44.7,32,43.7,36.3
"ILL_7716_AGL",47,45,49.3,47,47.7,32,47,41.7
"ILL_7747_AGL",47.7,45,49.3,47.3,43.7,31.7,42.3,38.3
"ILL_7946_AGL",45.3,43,46.3,45,43.3,32.3,45,37.7
"ILL_7978_AGL",43,41,45,44,49,32.7,47,38.3
"ILL_7979_AGL",46.3,42,46,47,46.7,34.7,48.7,38.3
"ILL_8007_AGL",44,38,43.3,40,44.3,36,48,40.3
"ILL_8009_AGL",44,38.3,45,42.3,46.7,36,45.3,38.3
"ILL_8010_AGL",42.7,41.7,45.3,45,47.7,34.3,44.7,38.3
"ILL_8072_AGL",45,43.7,47,49,50.3,37.7,45.7,39
"ILL_8174_AGL",45.3,45.7,50,48.7,52.7,36,47.7,43
"ILL_8595_AGL",44,43.7,47,47.3,52.7,35.5,54.3,42.3
"ILL_9_AGL",43.3,39,46.3,42.3,47.7,38.7,46.3,42
"ILL_975_AGL",45.3,42.7,46.3,45.3,45.7,32.3,43.7,37.3
"ILL_9888_AGL",45,40.3,45.7,43.7,45.7,33.7,44,37.3
"ILL_9932_AGL",45,39.3,46.3,45,43.7,36.3,45.3,36.3
"ILL_9945_AGL",43.3,38.3,45,42.7,45.3,36,45.3,40
"ILL_9977_AGL",44,39,44.7,43.7,45.3,35.3,47,37.7
"ILL_9997_AGL",45.3,41.7,45.7,43.7,47.3,35.3,45.7,40.3
"ILWL_118_AGL",45.3,45.3,49.3,50,46,31.3,43.3,37
"Indianhead_AGL",55,55.7,61.3,61.5,46,NA,45,NA
"IPL_220_AGL",44,39.3,44,41,46,35,45.7,41.7
"Laird_AGL",53,51,56,57.7,45,NA,48,NA
"LIRL.22.46_AGL",44,42.3,46.7,46,49,37.5,47.3,41
"PI_163589_AGL",49.3,46,53,53.3,46,33.5,39.7,33
"PI_169534_LSP_AGL",48.7,45.7,51.7,53,48.7,37,51.7,35
"PI_175754_LSP_AGL",45.3,43.7,48.7,47.3,48.3,35.3,46,41.5
"PI_177430_LSP_AGL",48.7,45.7,51.7,51.3,46,35,45.7,36.7
"PI_178939_LSP_AGL",46.7,46,53,53.3,50,36,48.3,37
